fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2023-09-30,88496000000,22956000000,62146000000,15550061000,,,,,
2023-06-30,80799000000,19881000000,60274000000,15647868000,,,,,
2023-03-31,94836000000,24160000000,62158000000,15723406000,,,,,
2022-12-31,116151000000,29998000000,56727000000,15842407000,,,,,
2022-09-30,89319000000,20721000000,50672000000,15943425000,,,,,
2022-06-30,82240000000,19442000000,58107000000,16095378000,,,,,
2022-03-31,96587000000,25010000000,67399000000,16207568000,,,,,
2021-12-31,123251000000,34630000000,71932000000,16340851000,,,,,
2021-09-30,82688000000,20551000000,63090000000,16426786000,,,,,
2021-06-30,80769000000,21744000000,64280000000,16556942000,,,,,
2021-03-31,88914000000,23630000000,69178000000,16686305000,,,,,
2020-12-31,110801000000,28755000000,66224000000,16823263000,,,,,
2020-09-30,64698000000,12673000000,65339000000,16976763000,,,,,
2020-06-30,58988000000,11253000000,72282000000,4283939000,,,,,
2023-09-30,379352000000,96995000000,62146000000,15550061000,6.238,1.561,-0.031,-0.028,-0.004
2022-09-30,391397000000,99803000000,50672000000,15943425000,6.26,1.97,0.078,0.054,0.086
2021-09-30,363172000000,94680000000,63090000000,16426786000,5.764,1.501,0.337,0.649,0.704
2020-09-30,271642000000,57411000000,65339000000,16976763000,3.382,0.879,,,
