fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2023-09-30,5774000000,299000000,54970000000,1615000000,,,,,
2023-06-30,5331000000,27000000,55136000000,1614000000,,,,,
2023-03-31,5353000000,-139000000,54694000000,1609000000,,,,,
2022-12-31,5732000000,21000000,54750000000,1612000000,,,,,
2022-09-30,5534000000,66000000,54542000000,1612000000,,,,,
2022-06-30,6525000000,447000000,55169000000,1612000000,,,,,
2022-03-31,5859000000,786000000,55333000000,1620000000,,,,,
2021-12-31,4845000000,974000000,7497000000,1207000000,,,,,
2021-09-30,4306000000,923000000,7136000000,1212000000,,,,,
2021-06-30,3840000000,710000000,7065000000,1213000000,,,,,
2021-03-31,3422000000,555000000,6477000000,1215000000,,,,,
2020-12-31,3235000000,1781000000,5837000000,1211000000,,,,,
2020-09-30,2790000000,390000000,3867000000,1202000000,,,,,
2020-06-30,1918000000,157000000,3305000000,1174000000,,,,,
2022-12-31,23650000000,1320000000,54750000000,1612000000,0.819,0.024,0.442,-0.583,-0.687
2021-12-31,16401000000,3162000000,7497000000,1207000000,2.62,0.422,0.694,0.27,0.274
2020-12-31,9684000000,2490000000,5837000000,1211000000,2.056,0.427,0.483,6.302,6.055
2019-12-31,6528000000,341000000,2827000000,1170000000,0.291,0.121,,,
