fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2023-12-31,169328000000,10624000000,201875000000,10383000000,,,,,
2023-09-30,142183000000,9879000000,182973000000,10330000000,,,,,
2023-06-30,133552000000,6750000000,168602000000,10313000000,,,,,
2023-03-31,126605000000,3172000000,154526000000,10258000000,,,,,
2022-12-31,148376000000,278000000,146043000000,10242000000,,,,,
2022-09-30,126381000000,2872000000,137489000000,10198000000,,,,,
2022-06-30,120533000000,-2028000000,131402000000,10183000000,,,,,
2022-03-31,115986000000,-3844000000,134001000000,509000000,,,,,
2021-12-31,136903000000,14323000000,138245000000,509000000,,,,,
2021-09-30,110212000000,3156000000,120564000000,507000000,,,,,
2021-06-30,112755000000,7778000000,114803000000,506000000,,,,,
2021-03-31,108088000000,8107000000,103320000000,504000000,,,,,
2020-12-31,125555000000,7222000000,93404000000,503000000,,,,,
2020-09-30,95717000000,6331000000,82775000000,502000000,,,,,
2023-12-31,571668000000,30425000000,201875000000,10383000000,2.93,0.151,0.118,12.177,12.026
2022-12-31,511276000000,-2722000000,146043000000,10242000000,-0.266,-0.019,0.093,-1.082,-1.004
2021-12-31,467958000000,33364000000,138245000000,509000000,65.548,0.241,0.217,0.564,0.546
2020-12-31,384452000000,21331000000,93404000000,503000000,42.408,0.228,,,
