fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2023-09-30,25167000000,7802000000,287064000000,7923357339,,,,,
2023-06-30,25197000000,7408000000,283319000000,7953563116,,,,,
2023-03-31,26258000000,8161000000,280196000000,7972438148,,,,,
2022-12-31,24532000000,7132000000,273197000000,7996777943,,,,,
2022-09-30,24502000000,7082000000,269524000000,8024450244,,,,,
2022-06-30,22688000000,6247000000,269118000000,8035221887,,,,,
2022-03-31,23228000000,7067000000,266617000000,8062102236,,,,,
2021-12-31,22060000000,7013000000,270066000000,8077831463,,,,,
2021-09-30,22766000000,7691000000,272464000000,8241243911,,,,,
2021-06-30,21466000000,9224000000,277119000000,8487151465,,,,,
2021-03-31,22821000000,8050000000,274000000000,8589731470,,,,,
2020-12-31,20099000000,5470000000,272924000000,8650814105,,,,,
2020-09-30,20336000000,4881000000,268850000000,8661522562,,,,,
2020-06-30,22326000000,3533000000,265637000000,8664081625,,,,,
2022-12-31,94950000000,27528000000,273197000000,7996777943,3.442,0.101,0.066,-0.139,-0.13
2021-12-31,89113000000,31978000000,270066000000,8077831463,3.959,0.118,0.042,0.787,0.914
2020-12-31,85528000000,17894000000,272924000000,8650814105,2.068,0.066,-0.063,-0.348,-0.334
2019-12-31,91244000000,27430000000,264810000000,8836148954,3.104,0.104,,,
