fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2023-12-31,85069000000,20687000000,283379000000,12460000000,,,,,
2023-09-30,76307000000,19689000000,273202000000,12541000000,,,,,
2023-06-30,74383000000,18368000000,267141000000,12629000000,,,,,
2023-03-31,69686000000,15051000000,260894000000,12722000000,,,,,
2022-12-31,74291000000,13624000000,256144000000,12849000000,,,,,
2022-09-30,69420000000,13910000000,253626000000,12971000000,,,,,
2022-06-30,69743000000,16002000000,255419000000,13078000000,,,,,
2022-03-31,68059000000,16436000000,254004000000,658763000,,,,,
2021-12-31,75140000000,20642000000,251635000000,662121000,,,,,
2021-09-30,64928000000,18936000000,244567000000,664682000,,,,,
2021-06-30,61880000000,18525000000,237565000000,667637000,,,,,
2021-03-31,55314000000,17930000000,230013000000,671094000,,,,,
2020-12-31,56118000000,15227000000,222544000000,675222000,,,,,
2020-09-30,46130000000,11247000000,212920000000,677724000,,,,,
2023-12-31,305559000000,73795000000,283379000000,12460000000,5.923,0.26,0.086,0.23,0.269
2022-12-31,281279000000,59972000000,256144000000,12849000000,4.667,0.234,0.092,-0.211,-0.959
2021-12-31,257637000000,76033000000,251635000000,662121000,114.832,0.302,0.412,0.888,0.925
2020-12-31,182527000000,40269000000,222544000000,675222000,59.638,0.181,,,
