fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2023-12-31,39605000000,14017000000,153168000000,2565000000,,,,,
2023-09-30,34009000000,11583000000,142873000000,2576000000,,,,,
2023-06-30,31884000000,7788000000,134033000000,2568000000,,,,,
2023-03-31,28591000000,5709000000,124795000000,2587000000,,,,,
2022-12-31,31920000000,4653000000,125713000000,2639000000,,,,,
2022-09-30,27710000000,4395000000,124094000000,2682000000,,,,,
2022-06-30,28818000000,6687000000,125767000000,2704000000,,,,,
2022-03-31,27904000000,7465000000,123228000000,2725000000,,,,,
2021-12-31,33527000000,10285000000,124879000000,2764000000,,,,,
2021-09-30,29006000000,9194000000,133360000000,2814000000,,,,,
2021-06-30,29073000000,10394000000,138227000000,2834000000,,,,,
2021-03-31,26167000000,9497000000,133657000000,2847000000,,,,,
2020-12-31,27940000000,11219000000,128290000000,2854000000,,,,,
2020-09-30,21466000000,7846000000,117731000000,2850000000,,,,,
2023-12-31,134090000000,39098000000,153168000000,2565000000,15.243,0.255,0.152,0.685,0.734
2022-12-31,116352000000,23200000000,125713000000,2639000000,8.791,0.185,-0.012,-0.411,-0.383
2021-12-31,117774000000,39370000000,124879000000,2764000000,14.244,0.315,0.372,0.351,0.395
2020-12-31,85822000000,29146000000,128290000000,2854000000,10.212,0.227,,,
