fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2023-09-30,1066000000,207000000,10993000000,722485257,,,,,
2023-06-30,1233000000,413000000,11060000000,722475755,,,,,
2023-03-31,2503000000,2006000000,10782000000,722150297,,,,,
2022-12-31,453000000,172000000,8824000000,681217334,,,,,
2022-09-30,355000000,152000000,6746000000,466136056,,,,,
2022-06-30,380000000,171000000,6824000000,466243078,,,,,
2022-03-31,360000000,155000000,6909000000,467024144,,,,,
2021-12-31,346000000,150000000,7044000000,465015643,,,,,
2021-09-30,347000000,149000000,6967000000,465020799,,,,,
2021-06-30,365000000,152000000,6916000000,465056962,,,,,
2021-03-31,342396000,145000000,6796000000,465074384,,,,,
2020-12-31,325247000,190000000,6842000000,463901808,,,,,
2020-09-30,296104000,116000000,6735000000,463904084,,,,,
2020-06-30,277267000,105000000,6693000000,463933831,,,,,
2022-12-31,1563000000,650000000,8824000000,681217334,0.954,0.074,0.116,0.091,-0.256
2021-12-31,1400000000,596000000,7044000000,465015643,1.282,0.085,0.216,0.166,0.164
2020-12-31,1151341000,511000000,6842000000,463901808,1.102,0.075,0.064,0.294,0.303
2019-12-31,1082217000,395000000,6712000000,467346781,0.845,0.059,,,
