fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2023-09-30,23350000000,1853000000,53466000000,3179000000,,,,,
2023-06-30,24927000000,2703000000,51130000000,3174000000,,,,,
2023-03-31,23329000000,2513000000,48054000000,3169000000,,,,,
2022-12-31,24318000000,3687000000,44704000000,3164000000,,,,,
2022-09-30,21454000000,3292000000,39851000000,3158000000,,,,,
2022-06-30,16934000000,2259000000,36376000000,1041000000,,,,,
2022-03-31,18756000000,3318000000,34085000000,1036000000,,,,,
2021-12-31,17719000000,2321000000,30189000000,1033000000,,,,,
2021-09-30,13757000000,1618000000,27053000000,1004000000,,,,,
2021-06-30,11958000000,1142000000,24804000000,984000000,,,,,
2021-03-31,10389000000,438000000,23017000000,963000000,,,,,
2020-12-31,10744000000,270000000,22225000000,960000000,,,,,
2020-09-30,8771000000,331000000,16031000000,948000000,,,,,
2020-06-30,6036000000,104000000,9855000000,186000000,,,,,
2022-12-31,81462000000,12556000000,44704000000,3164000000,3.968,0.281,0.514,1.275,-0.257
2021-12-31,53823000000,5519000000,30189000000,1033000000,5.343,0.183,0.707,6.655,6.114
2020-12-31,31536000000,721000000,22225000000,960000000,0.751,0.032,0.283,1.836,1.158
2019-12-31,24578000000,-862000000,6618000000,181000000,-4.762,-0.13,,,
