fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2023-12-31,USD,67885000000,16768000000,3933000000,5773000000,4351000000,6476000000,51117000000,1589000000,1787000000,45625000000,21363000000,24262000000,5253000000,99000000,1840000000,1268000000,2805000000,11993000000,6689000000,2055000000,None,751000000,751000000,6704000000,535000000,1717000000,751000000,1717000000,2468000000,438000000,1850000000,55892000000,4514000000,723000000,17000000,1616000000
2022-12-31,USD,67580000000,15019000000,4835000000,5855000000,3771000000,5226000000,53813000000,1513000000,1507000000,48295000000,24118000000,24200000000,4503000000,83000000,1020000000,312000000,2152000000,12830000000,6369000000,2493000000,None,0,0,6461000000,396000000,2467000000,0,2467000000,2467000000,336000000,1664000000,54750000000,3099000000,-131000000,16000000,1612000000
2021-12-31,USD,12419000000,8583000000,2535000000,3608000000,1955000000,3035000000,4752000000,702000000,1134000000,289000000,0,289000000,69000000,69000000,1073000000,378000000,1478000000,4922000000,4240000000,1321000000,None,312000000,312000000,682000000,348000000,1000000,312000000,1000000,313000000,98000000,321000000,7497000000,2130000000,-1451000000,12000000,1207000000
2020-12-31,USD,8962000000,6143000000,1595000000,2290000000,1399000000,2189000000,2819000000,641000000,912000000,289000000,229000000,289000000,63000000,63000000,695000000,233000000,373000000,3125000000,2417000000,468000000,15000000,0,0,708000000,201000000,330000000,None,330000000,330000000,75000000,177000000,5837000000,131000000,-4605000000,12000000,1211000000
2019-12-31,USD,6028000000,4597000000,1466000000,1503000000,982000000,2056000000,1431000000,500000000,768000000,289000000,210000000,289000000,95000000,58000000,37000000,233000000,357000000,3201000000,2359000000,988000000,4000000,0,0,842000000,242000000,486000000,43000000,486000000,486000000,74000000,157000000,2827000000,53000000,-7095000000,12000000,1170000000
2018-12-31,USD,4556000000,3540000000,1078000000,1156000000,845000000,1235000000,1016000000,348000000,707000000,289000000,226000000,289000000,136000000,58000000,78000000,195000000,321000000,3290000000,1984000000,834000000,22000000,136000000,136000000,1317000000,None,1250000000,136000000,1114000000,1250000000,24000000,192000000,1266000000,50000000,-7436000000,10000000,1005000000
2017-12-31,USD,3552000000,2634000000,1185000000,1185000000,694000000,400000000,918000000,261000000,740000000,289000000,239000000,289000000,58000000,58000000,0,191000000,310000000,2956000000,1513000000,384000000,22000000,70000000,70000000,1454000000,None,1395000000,70000000,1325000000,1395000000,92000000,118000000,596000000,108000000,-7760000000,9000000,967000000
2016-12-31,USD,3321000000,2530000000,1264000000,1264000000,691000000,311000000,791000000,164000000,717000000,289000000,232000000,289000000,59000000,59000000,0,115000000,279000000,2844000000,1346000000,440000000,63000000,0,0,1570000000,None,1435000000,0,1435000000,1435000000,69000000,124000000,477000000,119000000,-7803000000,9000000,935000000
2015-12-31,USD,3084000000,2320000000,785000000,785000000,678000000,533000000,789000000,188000000,796000000,278000000,0,278000000,None,7000000,0,248000000,298000000,3434000000,1403000000,279000000,53000000,460000000,230000000,2118000000,None,2237000000,230000000,2007000000,2467000000,124000000,86000000,-350000000,123000000,-7306000000,8000000,792000000
2014-12-31,USD,3767000000,2736000000,805000000,1040000000,685000000,818000000,1031000000,302000000,1378000000,385000000,65000000,320000000,None,0,235000000,48000000,344000000,3580000000,1440000000,415000000,72000000,349000000,172000000,2140000000,None,2035000000,177000000,2025000000,4352000000,40000000,105000000,187000000,119000000,-6646000000,8000000,776000000
2013-12-31,USD,4337000000,2884000000,869000000,1097000000,884000000,832000000,1453000000,346000000,1387000000,631000000,78000000,553000000,3000000,90000000,228000000,71000000,386000000,3793000000,1618000000,519000000,145000000,115000000,55000000,2175000000,None,2192000000,60000000,1986000000,55000000,894000000,177000000,544000000,112000000,-6243000000,7000000,725000000
2012-12-31,USD,4000000000,2265000000,549000000,1002000000,562000000,630000000,1735000000,658000000,1560000000,649000000,96000000,553000000,665000000,181000000,453000000,71000000,247000000,3462000000,1397000000,278000000,108000000,2146000000,2141000000,2065000000,None,2019000000,5000000,2019000000,4160000000,63000000,28000000,538000000,109000000,-6160000000,7000000,713000000
2011-12-31,USD,4954000000,3229000000,869000000,1765000000,476000000,919000000,1455000000,726000000,1470000000,331000000,8000000,323000000,1323000000,149000000,896000000,1765000000,241000000,3364000000,1774000000,363000000,202000000,489000000,489000000,1590000000,None,2065000000,489000000,None,2065000000,72000000,63000000,1590000000,107000000,-4977000000,7000000,698000000
2010-12-31,USD,4964000000,3594000000,606000000,1789000000,632000000,968000000,1370000000,700000000,1379000000,360000000,37000000,323000000,1183000000,None,1183000000,1789000000,347000000,3951000000,1674000000,376000000,254000000,233000000,229000000,2270000000,None,2188000000,4000000,None,229000000,19000000,89000000,1013000000,102000000,-5468000000,7000000,683000000
2009-12-31,USD,9078000000,4275000000,1657000000,1657000000,567000000,None,4803000000,3809000000,None,421000000,98000000,323000000,None,None,1019000000,2676000000,573000000,8430000000,2210000000,647000000,None,None,479000000,5144000000,None,4252000000,308000000,None,4731000000,168000000,892000000,648000000,98000000,-5939000000,7000000,671000000
