fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-12-31,USD,10460000000,22875000000,18025000000,12220000000,401000000,2352000000,5872000000,11688000000,None,206000000,312000000,106000000,22669000000,197000000,441000000,3453000000,508000000,-346000000,106000000,854000000,885000000,614000000,4067000000,854000000
2022-12-31,USD,10603000000,23650000000,19508000000,12998000000,1264000000,2336000000,5005000000,11531000000,None,65000000,153000000,88000000,23585000000,8000000,439000000,4174000000,1198000000,-122000000,88000000,1320000000,1282000000,1286000000,5460000000,1320000000
2021-12-31,USD,7929000000,16401000000,10360000000,8505000000,3648000000,1448000000,2845000000,4734000000,None,8000000,42000000,34000000,16393000000,55000000,296000000,407000000,3675000000,513000000,41000000,3162000000,3142000000,3709000000,4116000000,3162000000
2020-12-31,USD,4347000000,9684000000,6723000000,5416000000,1369000000,995000000,1983000000,3323000000,None,8000000,55000000,47000000,9676000000,-47000000,217000000,312000000,1280000000,-1210000000,101000000,2490000000,2507000000,1327000000,1639000000,2490000000
2019-12-31,USD,2868000000,6528000000,4613000000,3863000000,631000000,750000000,1547000000,2339000000,None,15000000,109000000,94000000,6513000000,-165000000,142000000,222000000,372000000,31000000,446000000,341000000,349000000,466000000,688000000,341000000
2018-12-31,USD,2447000000,6481000000,4635000000,4028000000,451000000,562000000,1434000000,2068000000,None,18000000,139000000,121000000,6463000000,0,94000000,170000000,328000000,-9000000,121000000,337000000,325000000,449000000,619000000,337000000
2017-12-31,USD,1787000000,5375000000,4017000000,3466000000,127000000,516000000,1196000000,1671000000,None,6000000,132000000,126000000,-12000000,-9000000,77000000,144000000,-15000000,18000000,138000000,43000000,-22000000,111000000,348000000,-33000000
2016-12-31,USD,1003000000,4294000000,3734000000,3316000000,-373000000,466000000,1008000000,1468000000,None,2000000,158000000,156000000,-68000000,80000000,71000000,135000000,-459000000,39000000,224000000,-497000000,-495000000,-303000000,-237000000,-498000000
2015-12-31,USD,1080000000,3831000000,3458000000,2911000000,-481000000,482000000,947000000,1494000000,None,0,160000000,160000000,0,-5000000,94000000,3000000,-646000000,14000000,160000000,-660000000,-663000000,-486000000,-483000000,-660000000
2014-12-31,USD,1839000000,5268000000,4538000000,3667000000,-155000000,604000000,1072000000,1943000000,3000000,0,177000000,177000000,-61000000,-66000000,115000000,203000000,-398000000,5000000,238000000,-403000000,-406000000,-221000000,-18000000,-403000000
2013-12-31,USD,1978000000,5088000000,4261000000,3321000000,103000000,674000000,1201000000,2414000000,5000000,-177000000,None,177000000,-32000000,0,139000000,236000000,-74000000,9000000,178000000,-83000000,-82000000,103000000,339000000,-83000000
2012-12-31,USD,1235000000,5257000000,5374000000,4187000000,-1056000000,823000000,1354000000,2862000000,8000000,-175000000,None,175000000,0,6000000,179000000,260000000,-1217000000,-34000000,175000000,-1183000000,-1181000000,-1042000000,-782000000,-1183000000
2011-12-31,USD,2940000000,6402000000,5939000000,4532000000,368000000,992000000,1453000000,3180000000,10000000,-180000000,None,180000000,-2000000,-199000000,217000000,317000000,487000000,-4000000,186000000,495000000,485000000,667000000,984000000,491000000
2010-12-31,USD,2961000000,6288000000,4846000000,3533000000,848000000,934000000,1405000000,2924000000,11000000,-199000000,None,199000000,-7000000,311000000,256000000,383000000,509000000,38000000,223000000,471000000,318000000,708000000,1091000000,471000000
