fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-12-31,USD,255884000000,116476000000,25134000000,44070000000,14080000000,54449000000,119454000000,37265000000,None,689000000,86000000,603000000,21734000000,2798000000,18936000000,3877000000,11118000000,212717000000,96866000000,None,7287000000,None,50568000000,45367000000,1505000000,88805000000,50164000000,None,140474000000,21097000000,25497000000,43242000000,2047000000,31754000000,42000000,4005000000
2021-12-31,USD,257035000000,108996000000,20540000000,49593000000,12065000000,43913000000,123074000000,37139000000,None,730000000,111000000,619000000,35188000000,4545000000,29053000000,3416000000,14942000000,208413000000,90727000000,None,7032000000,None,50037000000,50925000000,1393000000,88400000000,120683000000,None,139485000000,18686000000,27705000000,48519000000,1563000000,35769000000,41000000,3997000000
2020-12-31,USD,267261000000,116744000000,25243000000,49961000000,10808000000,52394000000,126211000000,37083000000,None,402000000,144000000,258000000,131532000000,4901000000,24718000000,3581000000,12882000000,236450000000,97192000000,None,6720000000,180000000,51666000000,52191000000,1314000000,471000000,180000000,291000000,471000000,23645000000,28379000000,30690000000,1590000000,18243000000,41000000,3979000000
2019-12-31,USD,258537000000,114047000000,17504000000,34651000000,10786000000,62888000000,106118000000,36469000000,None,466000000,188000000,278000000,128763000000,2519000000,17147000000,3339000000,10706000000,225307000000,98132000000,None,6282000000,497000000,54313000000,48060000000,1414000000,600000000,130000000,470000000,600000000,22987000000,25324000000,33185000000,1613000000,20320000000,41000000,3960000000
2018-12-31,USD,256540000000,114649000000,16718000000,33951000000,11220000000,65548000000,103342000000,36178000000,None,442000000,178000000,264000000,21163000000,2709000000,17233000000,3930000000,None,220474000000,95569000000,None,6080000000,None,53493000000,40220000000,None,600000000,0,600000000,600000000,20556000000,23588000000,35932000000,1417000000,22668000000,41000000,3968000000
2017-12-31,USD,258496000000,116801000000,18492000000,38927000000,11176000000,62809000000,104095000000,35327000000,None,288000000,213000000,75000000,4996000000,3448000000,20435000000,3889000000,8104000000,222792000000,94600000000,None,5936000000,None,51621000000,46591000000,None,102666000000,51621000000,None,154287000000,19697000000,24711000000,35578000000,1253000000,21906000000,41000000,3975000000
2016-12-31,USD,238510000000,108461000000,15905000000,38827000000,8898000000,57368000000,92210000000,32072000000,None,248000000,198000000,50000000,5418000000,3523000000,22922000000,3368000000,5656000000,208668000000,90281000000,None,7553000000,None,49669000000,45750000000,None,93301000000,49669000000,None,142970000000,15450000000,24395000000,29170000000,1122000000,15634000000,41000000,3976000000
2015-12-31,USD,224925000000,102587000000,14272000000,35176000000,8319000000,56179000000,33511000000,30163000000,None,124000000,124000000,6000000,24128000000,3224000000,20904000000,2913000000,4795000000,196174000000,82336000000,None,7927000000,None,42998000000,43155000000,None,175940000000,961000000,None,132854000000,19089000000,23457000000,28642000000,977000000,14414000000,41000000,3972000000
2014-12-31,USD,208615000000,18623000000,10757000000,31150000000,7870000000,None,33616000000,30126000000,None,133000000,133000000,None,23750000000,3357000000,20393000000,10377000000,None,183808000000,77141000000,None,None,None,39172000000,106212000000,None,119668000000,2128000000,None,119171000000,14011000000,89255000000,24438000000,848000000,9422000000,40000000,3903000000
2013-12-31,USD,202204000000,22176000000,14468000000,14468000000,7708000000,None,31380000000,27616000000,None,85000000,85000000,None,25779000000,3679000000,22100000000,8909000000,None,175703000000,74131000000,None,None,None,38063000000,101148000000,None,115412000000,None,None,114688000000,13720000000,83918000000,26140000000,506000000,23386000000,40000000,3941000000
2012-12-31,USD,189571000000,23021000000,15659000000,15659000000,7362000000,None,28301000000,24942000000,None,87000000,87000000,None,23556000000,3272000000,20284000000,11388000000,None,173095000000,120000000,None,1500000000,None,38762000000,100815000000,None,105058000000,None,None,105058000000,12562000000,102764000000,15882000000,292000000,18077000000,40000000,3827000000
2011-12-31,USD,177386000000,23049000000,17148000000,17148000000,5901000000,None,25433000000,22371000000,None,100000000,100000000,None,21580000000,2962000000,18618000000,8387000000,None,163277000000,171000000,None,1500000000,None,40311000000,90239000000,None,100398000000,None,None,99488000000,12787000000,93460000000,14778000000,166000000,12985000000,38000000,3802000000
2010-12-31,USD,164687000000,20494000000,14805000000,14805000000,5917000000,-228000000,25850000000,23179000000,None,102000000,102000000,None,23334000000,2569000000,20765000000,6062000000,None,165329000000,77000000,None,1400000000,None,15456000000,116446000000,None,17028000000,None,None,103988000000,14996000000,85606000000,-673000000,163000000,-7038000000,38000000,3572000000
2009-12-31,USD,192040000000,26519000000,20894000000,21441000000,5041000000,-372000000,26328000000,22637000000,None,209000000,165000000,43000000,22937000000,1550000000,547000000,7064000000,None,199822000000,50773000000,None,2500000000,None,17714000000,150592000000,None,32321000000,None,None,133087000000,15303000000,98564000000,-7820000000,177000000,-13599000000,33000000,3310000000
2008-12-31,USD,218298000000,173465000000,21804000000,22049000000,6988000000,None,44863000000,24143000000,None,1593000000,1593000000,1190000000,None,None,43149000000,7706000000,None,232825000000,68926000000,None,None,None,21759000000,165518000000,None,90534000000,None,None,154688000000,28728000000,None,-15722000000,181000000,-16145000000,23000000,2273000000
