fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-12-31,USD,8502000000,158057000000,149555000000,134397000000,6276000000,10888000000,7800000000,21723000000,639000000,-4593000000,4142000000,4593000000,158116000000,201000000,7642000000,2938000000,-2845000000,-864000000,4714000000,-2152000000,-2981000000,6276000000,4686000000,-1981000000
2021-12-31,USD,1008000000,136341000000,135333000000,114651000000,4523000000,11915000000,7600000000,22215000000,254000000,-4593000000,261000000,4593000000,134565000000,31000000,7318000000,3020000000,17807000000,-130000000,6295000000,17910000000,17892000000,4523000000,25420000000,17937000000
2020-12-31,USD,-800000000,127144000000,127944000000,112752000000,-4408000000,10193000000,7100000000,17848000000,452000000,-5051000000,450000000,5051000000,127168000000,117000000,8751000000,2819000000,-1119000000,160000000,5052000000,-1276000000,-1845000000,-4408000000,6751000000,-1279000000
2019-12-31,USD,3763000000,155900000000,152137000000,134693000000,574000000,11161000000,7400000000,22800000000,809000000,-5409000000,809000000,5409000000,155953000000,106000000,9689000000,3464000000,-677000000,-724000000,5464000000,84000000,-315000000,574000000,8196000000,47000000
2018-12-31,USD,12239000000,160338000000,148099000000,136269000000,3203000000,11403000000,8200000000,19603000000,667000000,-5157000000,700000000,5157000000,160217000000,113000000,9385000000,2504000000,4327000000,650000000,5157000000,3695000000,3270000000,3203000000,11988000000,3677000000
2017-12-31,USD,4813000000,156776000000,151963000000,131321000000,4881000000,11527000000,8000000000,19527000000,459000000,-1133000000,3231000000,4364000000,157083000000,380000000,9241000000,2292000000,8004000000,402000000,1133000000,7628000000,7785000000,4881000000,14660000000,7602000000
2016-12-31,USD,4116000000,151800000000,147684000000,126195000000,-15380000000,10972000000,7300000000,19496000000,291000000,-894000000,294000000,894000000,307000000,489000000,2130000000,8717000000,6780000000,2184000000,894000000,4607000000,3833000000,7674000000,25169000000,4596000000
2015-12-31,USD,10545000000,149558000000,139013000000,124446000000,-11127000000,10763000000,6700000000,21672000000,309000000,-3227000000,-2454000000,773000000,-524000000,1818000000,2049000000,-27000000,10254000000,2881000000,3227000000,7371000000,6381000000,11027000000,11000000000,7373000000
2014-12-31,USD,6391000000,144077000000,137686000000,125025000000,-14679000000,11842000000,6700000000,21070000000,244000000,-3496000000,-2699000000,797000000,-510000000,1275000000,2127000000,53000000,1235000000,4000000,3496000000,3186000000,989000000,2032000000,2085000000,1231000000
2013-12-31,USD,7950000000,146917000000,138967000000,120190000000,-133528000000,10850000000,6200000000,23651000000,213000000,-3689000000,None,3689000000,-368000000,1069000000,None,-37000000,14378000000,2425000000,3708000000,7148000000,11600000000,18067000000,18030000000,11953000000
2012-12-31,USD,10457000000,133559000000,123795000000,113039000000,-117504000000,11529000000,5500000000,20559000000,342000000,-3828000000,None,3828000000,-440000000,588000000,None,-965000000,7639000000,2026000000,3842000000,5665000000,1492000000,11467000000,10502000000,5613000000
2011-12-31,USD,12461000000,135605000000,123803000000,113611000000,-116860000000,10884000000,5300000000,20317000000,471000000,-4431000000,None,4431000000,-124000000,500000000,None,-1120000000,8672000000,-11541000000,4559000000,20213000000,15792000000,13103000000,11983000000,20213000000
2010-12-31,USD,12594000000,128954000000,116360000000,104451000000,-109702000000,11909000000,5000000000,23661000000,348000000,-5804000000,348000000,6152000000,-927000000,538000000,None,-316000000,7153000000,592000000,6152000000,6561000000,3112000000,13305000000,12989000000,6561000000
2009-12-31,USD,5034000000,116283000000,113274000000,98866000000,-116098000000,13029000000,4700000000,20086000000,312000000,-6828000000,-38000000,6790000000,3969000000,10000000,None,-1087000000,2604000000,-113000000,6828000000,2712000000,4973000000,9394000000,8307000000,2717000000
