fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2023-09-30,USD,268073000000,121361000000,26427000000,41115000000,18326000000,57701000000,125894000000,39370000000,None,597000000,None,597000000,19091000000,4403000000,14688000000,4219000000,12428000000,223797000000,100268000000,None,7692000000,None,49111000000,46543000000,1880000000,94024000000,48638000000,None,144542000000,23817000000,27851000000,44263000000,2047000000,32169000000,42000000,4004000000
2023-06-30,USD,265991000000,121712000000,26406000000,42821000000,17703000000,57039000000,123225000000,38503000000,None,608000000,None,608000000,19993000000,3578000000,16415000000,4149000000,12109000000,222385000000,101015000000,None,7556000000,None,49754000000,44123000000,1614000000,93895000000,49341000000,None,144850000000,23925000000,25754000000,43677000000,2047000000,31577000000,42000000,4003000000
2023-03-31,USD,256800000000,115123000000,22144000000,39513000000,16212000000,55270000000,120278000000,37970000000,None,609000000,None,609000000,20817000000,3448000000,17369000000,4128000000,11595000000,214603000000,95905000000,None,7417000000,None,48248000000,43877000000,1399000000,91242000000,48050000000,None,140691000000,21827000000,25908000000,42366000000,2047000000,30270000000,42000000,3990000000
2022-12-31,USD,255884000000,116476000000,25134000000,44070000000,14080000000,54449000000,119454000000,37265000000,None,689000000,86000000,603000000,21734000000,2798000000,18936000000,3877000000,11118000000,212717000000,96866000000,None,7287000000,None,50568000000,45367000000,1505000000,88805000000,50164000000,None,140474000000,21097000000,25497000000,43242000000,2047000000,31754000000,42000000,4005000000
2022-09-30,USD,246919000000,108088000000,21548000000,40173000000,15213000000,48666000000,115851000000,35529000000,None,575000000,None,575000000,21181000000,2556000000,18625000000,3936000000,14359000000,204830000000,90167000000,None,7142000000,None,44430000000,50635000000,1436000000,84279000000,44050000000,None,129765000000,19066000000,28591000000,42125000000,1564000000,31072000000,42000000,4021000000
2022-06-30,USD,245755000000,100469000000,19516000000,36700000000,13976000000,45753000000,121730000000,36162000000,None,595000000,None,595000000,22423000000,4196000000,17184000000,3335000000,15607000000,201518000000,86452000000,None,7318000000,None,44171000000,50241000000,1407000000,85008000000,43819000000,None,130234000000,18895000000,28221000000,44169000000,1564000000,32511000000,42000000,4021000000
2022-03-31,USD,252986000000,106142000000,21013000000,41228000000,14647000000,45806000000,122393000000,36625000000,None,617000000,None,617000000,25836000000,4306000000,20215000000,3635000000,15376000000,207902000000,90352000000,None,7192000000,None,48637000000,50659000000,1383000000,87315000000,48286000000,None,136984000000,18263000000,28501000000,44985000000,1564000000,32251000000,42000000,4008000000
2021-12-31,USD,257035000000,108996000000,20540000000,49593000000,12065000000,43913000000,123074000000,37139000000,None,730000000,111000000,619000000,35188000000,4545000000,29053000000,3416000000,14942000000,208413000000,90727000000,None,7032000000,None,50037000000,50925000000,1393000000,88400000000,120683000000,None,139485000000,18686000000,27705000000,48519000000,1563000000,35769000000,41000000,3997000000
2021-09-30,USD,252677000000,106968000000,27429000000,46426000000,13508000000,43451000000,120623000000,36597000000,None,695000000,None,695000000,25630000000,4628000000,18997000000,3583000000,15014000000,215973000000,89033000000,None,7159000000,None,47658000000,51957000000,1301000000,97249000000,47323000000,None,145873000000,18787000000,28808000000,36593000000,1574000000,23894000000,41000000,3995000000
2021-06-30,USD,248532000000,101275000000,22955000000,41036000000,13593000000,43089000000,121659000000,36723000000,None,741000000,None,741000000,24863000000,4582000000,18081000000,3557000000,14283000000,213748000000,83474000000,None,7067000000,None,46352000000,52272000000,1309000000,100905000000,46012000000,None,148226000000,18869000000,28586000000,34664000000,1579000000,22062000000,41000000,3992000000
2021-03-31,USD,260819000000,113932000000,21826000000,46107000000,12742000000,51112000000,120782000000,36361000000,None,566000000,None,566000000,31071000000,4694000000,24281000000,3636000000,13348000000,226845000000,94249000000,None,6612000000,None,49800000000,52406000000,1294000000,103201000000,49471000000,None,153966000000,20995000000,28707000000,33828000000,1585000000,21502000000,41000000,3980000000
2020-12-31,USD,267261000000,116744000000,25243000000,49961000000,10808000000,52394000000,126211000000,37083000000,None,402000000,144000000,258000000,131532000000,4901000000,24718000000,3581000000,12882000000,236450000000,97192000000,None,6720000000,180000000,51666000000,52191000000,1314000000,471000000,180000000,291000000,471000000,23645000000,28379000000,30690000000,1590000000,18243000000,41000000,3979000000
2020-09-30,USD,259943000000,111765000000,24263000000,44831000000,10583000000,51961000000,122342000000,36118000000,None,258000000,None,258000000,28279000000,4741000000,20568000000,3714000000,12858000000,226782000000,93159000000,None,6511000000,None,51326000000,48946000000,1286000000,106280000000,133267000000,None,158561000000,20293000000,26826000000,33125000000,1596000000,21031000000,41000000,3976000000
2020-06-30,USD,269366000000,124111000000,30989000000,57130000000,10220000000,51827000000,119761000000,35276000000,None,254000000,None,254000000,33999000000,4651000000,26141000000,4214000000,12559000000,238511000000,92780000000,None,6278000000,339000000,55683000000,47149000000,1253000000,119886000000,339000000,None,176483000000,20792000000,25391000000,30824000000,1601000000,18645000000,41000000,3975000000
2020-03-31,USD,264150000000,124276000000,25971000000,46370000000,11312000000,61514000000,113659000000,35294000000,None,278000000,None,278000000,26083000000,2275000000,20399000000,4380000000,11728000000,234452000000,94494000000,None,6251000000,361000000,53273000000,46859000000,1367000000,114414000000,361000000,None,168693000000,22674000000,25105000000,29650000000,1607000000,17527000000,41000000,3963000000
2019-12-31,USD,258537000000,114047000000,17504000000,34651000000,10786000000,62888000000,106118000000,36469000000,None,466000000,188000000,278000000,128763000000,2519000000,17147000000,3339000000,10706000000,225307000000,98132000000,None,6282000000,497000000,54313000000,48060000000,1414000000,600000000,130000000,470000000,600000000,22987000000,25324000000,33185000000,1613000000,20320000000,41000000,3960000000
2019-09-30,USD,258157000000,115754000000,20523000000,37331000000,12451000000,61804000000,103617000000,35404000000,None,291000000,None,291000000,21073000000,2623000000,16808000000,3356000000,10717000000,222770000000,99087000000,None,None,None,54913000000,39615000000,1267000000,99507000000,54604000000,None,155378000000,21731000000,23729000000,35349000000,1619000000,22590000000,41000000,3970000000
2019-06-30,USD,262184000000,118351000000,22117000000,38048000000,12437000000,64697000000,105253000000,36581000000,None,265000000,None,265000000,19964000000,2637000000,15931000000,3169000000,10789000000,226048000000,98334000000,None,None,None,53178000000,40132000000,1340000000,103213000000,52851000000,None,157404000000,22503000000,24032000000,36097000000,1388000000,22769000000,41000000,3984000000
2019-03-31,USD,263281000000,121195000000,20848000000,37730000000,12333000000,67460000000,103296000000,36145000000,None,264000000,None,264000000,20478000000,2605000000,16882000000,3672000000,9459000000,226712000000,99237000000,None,None,None,54883000000,40612000000,1360000000,102537000000,54548000000,None,158520000000,21364000000,24216000000,36398000000,1394000000,23226000000,41000000,3973000000
2018-12-31,USD,256540000000,114649000000,16718000000,33951000000,11220000000,65548000000,103342000000,36178000000,None,442000000,178000000,264000000,21163000000,2709000000,17233000000,3930000000,None,220474000000,95569000000,None,6080000000,None,53493000000,40220000000,None,600000000,0,600000000,600000000,20556000000,23588000000,35932000000,1417000000,22668000000,41000000,3968000000
2018-09-30,USD,258966000000,114843000000,18562000000,36342000000,12810000000,62062000000,104858000000,35762000000,None,273000000,273000000,273000000,4036000000,3057000000,17780000000,3629000000,8367000000,222248000000,94750000000,None,6790000000,None,50763000000,45770000000,None,12048000000,1699000000,None,153431000000,20714000000,24228000000,36590000000,1417000000,23384000000,41000000,3976000000
2018-06-30,USD,258079000000,115025000000,16828000000,36476000000,12565000000,62380000000,104285000000,35580000000,None,273000000,273000000,273000000,4547000000,3275000000,19648000000,3604000000,8300000000,221511000000,94861000000,None,6791000000,None,50884000000,45536000000,None,12241000000,2399000000,None,152843000000,21234000000,24107000000,36441000000,1342000000,22993000000,41000000,3977000000
2018-03-31,USD,267230000000,123264000000,17940000000,40071000000,12371000000,67066000000,106249000000,36118000000,None,274000000,274000000,274000000,4837000000,3582000000,22131000000,3756000000,8546000000,230696000000,99878000000,None,6231000000,None,52983000000,46887000000,None,105351000000,2491000000,None,158334000000,21415000000,24845000000,36400000000,1342000000,22529000000,41000000,3974000000
2017-12-31,USD,258496000000,116801000000,18492000000,38927000000,11176000000,62809000000,104095000000,35327000000,None,288000000,213000000,75000000,4996000000,3448000000,20435000000,3889000000,8104000000,222792000000,94600000000,None,5936000000,None,51621000000,46591000000,None,102666000000,1960000000,None,154287000000,19697000000,24711000000,35578000000,1253000000,21906000000,41000000,3975000000
2017-09-30,USD,251849000000,112732000000,17589000000,38081000000,11263000000,59818000000,100527000000,34760000000,None,None,None,None,5340000000,3670000000,20492000000,3570000000,7041000000,217913000000,94352000000,None,6215000000,None,51174000000,46765000000,None,97938000000,1985000000,None,149112000000,19612000000,24819000000,33238000000,1253000000,19405000000,41000000,3972000000
2017-06-30,USD,248037000000,113539000000,16223000000,39109000000,11092000000,60047000000,96212000000,33794000000,None,None,None,None,5135000000,3462000000,22886000000,3291000000,6602000000,215110000000,94299000000,None,6275000000,None,50773000000,46457000000,None,95236000000,146009000000,None,146009000000,19958000000,24840000000,32244000000,1253000000,18437000000,41000000,3977000000
2017-03-31,USD,244658000000,113228000000,17823000000,39989000000,10535000000,59290000000,93726000000,32668000000,None,None,None,None,5282000000,3861000000,22166000000,3414000000,5893000000,213356000000,91304000000,None,5601000000,None,49257000000,45966000000,None,96720000000,145977000000,None,145977000000,18790000000,24583000000,30619000000,1122000000,16992000000,41000000,3976000000
2016-12-31,USD,238510000000,108461000000,15905000000,38827000000,8898000000,57368000000,92210000000,32072000000,None,248000000,198000000,50000000,5418000000,3523000000,22922000000,3368000000,5656000000,208668000000,90281000000,None,7553000000,None,49669000000,45750000000,None,93301000000,1361000000,None,142970000000,15450000000,24395000000,29170000000,1122000000,15634000000,41000000,3976000000
2016-09-30,USD,234963000000,103515000000,13340000000,34165000000,10219000000,55579000000,94304000000,32257000000,None,None,None,None,6717000000,3795000000,20825000000,3552000000,7111000000,203368000000,89188000000,None,8354000000,None,47273000000,43460000000,None,89951000000,47273000000,None,137224000000,19531000000,23652000000,31484000000,1122000000,17013000000,41000000,3974000000
2016-06-30,USD,239678000000,110767000000,17063000000,39297000000,9829000000,58588000000,89621000000,31940000000,None,None,None,None,3349000000,3349000000,22234000000,3053000000,6905000000,208429000000,89408000000,None,9138000000,None,44861000000,43161000000,None,95053000000,44861000000,None,139914000000,21463000000,23416000000,31141000000,1122000000,16652000000,41000000,3973000000
2016-03-31,USD,237288000000,25687000000,15917000000,39473000000,9770000000,None,34984000000,31164000000,None,None,None,None,27376000000,3820000000,23556000000,9657000000,None,207572000000,95714000000,None,None,None,54335000000,111858000000,None,93254000000,None,None,140995000000,14287000000,25248000000,29605000000,1122000000,15278000000,41000000,3970000000
2015-12-31,USD,224925000000,102587000000,14272000000,35176000000,8319000000,56179000000,33511000000,30163000000,None,124000000,124000000,6000000,24128000000,3224000000,20904000000,2913000000,4795000000,196174000000,82336000000,None,7927000000,None,42998000000,43155000000,None,175940000000,961000000,None,132854000000,19089000000,23457000000,28642000000,977000000,14414000000,41000000,3972000000
2015-09-30,USD,219578000000,24182000000,14686000000,31847000000,9496000000,None,33642000000,30137000000,None,None,None,None,20666000000,3505000000,17161000000,12697000000,None,191853000000,85927000000,None,None,None,46032000000,105926000000,None,86987000000,None,None,126425000000,12603000000,25302000000,27688000000,977000000,27489000000,41000000,3969000000
2015-06-30,USD,216127000000,22335000000,12897000000,31302000000,9438000000,None,34219000000,30750000000,None,None,None,None,21874000000,3469000000,18405000000,12709000000,None,189597000000,86159000000,None,None,None,45933000000,103438000000,None,84187000000,None,None,123526000000,12989000000,25282000000,26468000000,939000000,26175000000,41000000,3974000000
2015-03-31,USD,212449000000,21887000000,12368000000,12368000000,9519000000,None,33240000000,29612000000,None,None,None,None,24360000000,3628000000,20732000000,11457000000,None,187311000000,84408000000,None,None,None,45297000000,102903000000,None,122990000000,None,None,122776000000,12444000000,88909000000,25048000000,848000000,24887000000,41000000,3963000000
2014-12-31,USD,208615000000,18623000000,10757000000,31150000000,7870000000,None,33616000000,30126000000,None,133000000,133000000,None,23750000000,3357000000,20393000000,6307000000,None,183808000000,77141000000,None,None,None,39172000000,106212000000,None,119668000000,2128000000,None,119171000000,14011000000,89255000000,24438000000,848000000,9422000000,40000000,3903000000
2014-09-30,USD,208835000000,22616000000,13320000000,13320000000,9296000000,None,33151000000,30048000000,None,None,None,None,23746000000,3103000000,20643000000,9833000000,None,182331000000,86844000000,None,None,None,47435000000,95487000000,None,119887000000,None,None,119193000000,13982000000,85715000000,26136000000,2470000000,25051000000,40000000,3861000000
2014-06-30,USD,210945000000,20938000000,11573000000,11573000000,9365000000,None,32650000000,29294000000,None,None,None,None,27452000000,3356000000,24096000000,10114000000,None,183801000000,87505000000,None,None,None,46558000000,96296000000,None,119413000000,None,None,118707000000,14604000000,88065000000,26776000000,1461000000,24699000000,40000000,3940000000
2014-03-31,USD,207082000000,21857000000,12983000000,12983000000,8874000000,None,32429000000,28447000000,None,None,None,None,27528000000,3982000000,23546000000,9044000000,None,179944000000,83617000000,None,None,None,44970000000,96327000000,None,117724000000,None,None,117004000000,13846000000,86053000000,26773000000,506000000,23882000000,40000000,3946000000
2013-12-31,USD,202204000000,22176000000,14468000000,14468000000,7708000000,None,31380000000,27616000000,None,85000000,85000000,None,25779000000,3679000000,22100000000,4674000000,None,175703000000,74131000000,None,None,None,38063000000,101148000000,None,115412000000,None,None,114688000000,13720000000,83918000000,26140000000,506000000,23386000000,40000000,3941000000
2013-09-30,USD,199782000000,23649000000,14752000000,14752000000,8799000000,None,30388000000,26836000000,None,86000000,86000000,None,26356000000,3466000000,22890000000,98000000,None,180232000000,83287000000,None,None,None,45228000000,96945000000,None,111141000000,None,None,110622000000,13187000000,99887000000,20167000000,456000000,21014000000,40000000,3942000000
