fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-09-30,USD,2989000000,43481000000,40492000000,37548000000,1129000000,2671000000,None,2667000000,414000000,-324000000,325000000,324000000,43805000000,82000000,1903000000,1604000000,1413000000,214000000,324000000,1173000000,1190000000,1129000000,5798000000,1199000000
2023-06-30,USD,4281000000,44669000000,40388000000,37471000000,2461000000,2750000000,None,2731000000,372000000,-304000000,428000000,304000000,44973000000,24000000,1878000000,1596000000,2189000000,272000000,304000000,2016000000,1781000000,2461000000,6574000000,1917000000
2023-03-31,USD,3754000000,41177000000,37423000000,34669000000,2113000000,2506000000,None,2506000000,348000000,-308000000,178000000,308000000,41568000000,-11000000,1897000000,2034000000,2253000000,496000000,308000000,1663000000,2308000000,2113000000,4147000000,1757000000
2022-12-31,USD,-1987000000,43999000000,45986000000,37816000000,1561000000,2542000000,None,13208000000,308000000,-3652000000,600000000,3652000000,44108000000,-35000000,1973000000,1700000000,1196000000,-93000000,3652000000,1259000000,2143000000,1561000000,5440000000,1289000000
2022-09-30,USD,2622000000,39392000000,36770000000,34354000000,504000000,2847000000,None,2847000000,181000000,-321000000,2947000000,321000000,39257000000,104000000,1895000000,1532000000,-1022000000,-195000000,456000000,-930000000,-1547000000,504000000,2036000000,-827000000
2022-06-30,USD,4670000000,40190000000,35520000000,33191000000,2868000000,2759000000,None,2759000000,89000000,-312000000,91000000,312000000,40190000000,86000000,1917000000,1619000000,820000000,153000000,312000000,638000000,-512000000,2868000000,6614000000,667000000
2022-03-31,USD,3225000000,34476000000,31251000000,29036000000,1343000000,2740000000,None,2865000000,61000000,-308000000,66000000,308000000,34444000000,60000000,1857000000,1547000000,-3839000000,-729000000,308000000,-3119000000,-3065000000,1343000000,4818000000,-3110000000
2021-12-31,USD,-8950000000,37678000000,46628000000,32393000000,739000000,3248000000,None,13902000000,58000000,-3228000000,65000000,3228000000,36250000000,20000000,1840000000,1516000000,11227000000,-1055000000,4930000000,12273000000,12188000000,739000000,7912000000,12282000000
2021-09-30,USD,3269000000,35683000000,32414000000,30057000000,1342000000,2947000000,None,2947000000,60000000,-439000000,63000000,439000000,35683000000,26000000,1839000000,1520000000,1895000000,63000000,439000000,1822000000,1855000000,1342000000,5188000000,1832000000
2021-06-30,USD,1739000000,26752000000,25013000000,22904000000,-22000000,2877000000,None,2877000000,64000000,-453000000,64000000,453000000,26752000000,26000000,1536000000,1182000000,743000000,182000000,453000000,553000000,663000000,-22000000,3356000000,561000000
2021-03-31,USD,4736000000,36228000000,31492000000,29297000000,2464000000,2843000000,None,2677000000,72000000,-473000000,72000000,473000000,35878000000,-45000000,2103000000,1742000000,3942000000,680000000,473000000,3262000000,3186000000,2464000000,6885000000,3262000000
2020-12-31,USD,35952000000,35952000000,41989000000,33075000000,-2442000000,3530000000,None,14647000000,78000000,-3876000000,91000000,3876000000,35761000000,22000000,2081000000,1725000000,-4829000000,-1019000000,5051000000,-3810000000,-2469000000,-2442000000,167000000,-3810000000
2020-09-30,USD,4289000000,37501000000,33212000000,31223000000,2351000000,2266000000,None,2266000000,90000000,-498000000,54000000,498000000,37501000000,43000000,1868000000,1520000000,2751000000,366000000,0,2390000000,2243000000,2351000000,6138000000,2385000000
2020-06-30,USD,18000000,19371000000,19353000000,17932000000,-2759000000,1965000000,None,1965000000,122000000,-316000000,134000000,316000000,19370000000,34000000,2358000000,2070000000,1083000000,-34000000,1000000,1118000000,1107000000,-2759000000,5791000000,1117000000
2020-03-31,USD,1216000000,34320000000,33104000000,30522000000,-1558000000,2432000000,None,2420000000,162000000,-88000000,162000000,88000000,33982000000,18000000,2444000000,2142000000,-1146000000,847000000,0,-1993000000,-2726000000,-1558000000,4202000000,-1993000000
2019-12-31,USD,39715000000,39715000000,43358000000,34812000000,-457000000,2992000000,None,13878000000,197000000,-61000000,197000000,367000000,39871000000,-26000000,2379000000,2071000000,-3200000000,-764000000,5410000000,-2436000000,-1558000000,-457000000,2197000000,-2436000000
2019-09-30,USD,2086000000,36990000000,34904000000,32282000000,-261000000,2601000000,None,2601000000,202000000,-79000000,202000000,79000000,36989000000,25000000,2322000000,2693000000,-17000000,-442000000,1000000,423000000,19000000,-261000000,2432000000,425000000
2019-06-30,USD,2471000000,38853000000,36382000000,33657000000,90000000,2725000000,None,2725000000,207000000,-38000000,206000000,38000000,38800000000,88000000,2559000000,599000000,203000000,55000000,53000000,150000000,213000000,90000000,3070000000,148000000
2019-03-31,USD,3557000000,40342000000,36785000000,33942000000,1202000000,2843000000,None,2843000000,203000000,-62000000,33000000,62000000,40342000000,19000000,2429000000,586000000,1573000000,427000000,0,1183000000,1011000000,1202000000,4143000000,1146000000
2018-12-31,USD,41793000000,41793000000,32125000000,35754000000,632000000,2996000000,8200000000,11196000000,185000000,None,None,306000000,41672000000,2000000,2455000000,-333000000,78000000,95000000,5157000000,-17000000,-53000000,632000000,9762000000,-17000000
2018-09-30,USD,864000000,37666000000,36802000000,31568000000,864000000,2882000000,None,2882000000,169000000,None,None,179000000,37666000000,38000000,None,649000000,1092000000,101000000,0,993000000,766000000,864000000,1513000000,991000000
2018-06-30,USD,586000000,38920000000,38334000000,33194000000,-2192000000,2778000000,None,2778000000,167000000,-287000000,None,102000000,38920000000,30000000,None,847000000,1346000000,280000000,287000000,1069000000,531000000,-2192000000,1433000000,1066000000
2018-03-31,USD,1121000000,41959000000,40838000000,35753000000,-1626000000,2747000000,None,2747000000,146000000,None,None,142000000,41959000000,43000000,None,1092000000,1910000000,174000000,-287000000,1745000000,2026000000,-1626000000,4551000000,1736000000
2017-12-31,USD,41326000000,41326000000,40457000000,35004000000,9376000000,3088000000,8000000000,11088000000,134000000,-293000000,3231000000,3524000000,41633000000,94000000,None,1349000000,1237000000,-652000000,293000000,1889000000,2320000000,4761000000,4600000000,1889000000
2017-09-30,USD,971000000,36451000000,35480000000,30275000000,-1948000000,2919000000,None,2919000000,124000000,-284000000,None,284000000,36451000000,130000000,None,1084000000,1755000000,191000000,284000000,1571000000,1529000000,2039000000,4328000000,1564000000
2017-06-30,USD,1531000000,39853000000,38322000000,33342000000,-1225000000,2756000000,None,2756000000,109000000,-277000000,None,277000000,39853000000,109000000,None,1029000000,2253000000,211000000,277000000,2050000000,2260000000,2530000000,4777000000,2042000000
2017-03-31,USD,1442000000,39146000000,37704000000,32700000000,-1322000000,2764000000,None,2764000000,92000000,-279000000,None,279000000,39146000000,47000000,None,1031000000,2239000000,652000000,279000000,1594000000,1676000000,2518000000,4705000000,1587000000
2016-12-31,USD,38654000000,38654000000,40333000000,32488000000,38654000000,2841000000,7300000000,11738000000,None,-244000000,None,244000000,None,438000000,None,834000000,-1458000000,-341000000,244000000,-1117000000,-1757000000,-1214000000,1541000000,-1117000000
2016-09-30,USD,762000000,35943000000,35181000000,30668000000,-1773000000,2657000000,None,2535000000,None,-238000000,None,238000000,None,403000000,None,838000000,1383000000,426000000,238000000,961000000,887000000,1621000000,3800000000,957000000
2016-06-30,USD,2218000000,39485000000,37267000000,32522000000,-443000000,2784000000,None,2661000000,None,-212000000,None,212000000,None,398000000,None,835000000,2873000000,903000000,212000000,1972000000,2040000000,3085000000,5311000000,1970000000
2016-03-31,USD,3614000000,37718000000,34104000000,30517000000,-209000000,2690000000,None,3823000000,None,-200000000,None,200000000,None,541000000,None,925000000,3648000000,1196000000,200000000,2455000000,2663000000,3848000000,3740000000,2452000000
2015-12-31,USD,40251000000,40251000000,37158000000,34435000000,40251000000,3361000000,6700000000,10614000000,None,-2666000000,-2454000000,212000000,None,581000000,None,1072000000,1900000000,32000000,2666000000,1896000000,1483000000,2112000000,3412000000,1868000000
