fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2023-12-31,USD,229623000000,85365000000,41862000000,65403000000,None,16169000000,41588000000,96587000000,None,21442000000,788000000,20654000000,47140000000,58000000,23541000000,3793000000,6794000000,76455000000,31960000000,5712000000,1301000000,90000000,1623000000,52609000000,600000000,18385000000,None,18385000000,18385000000,25488000000,8884000000,153168000000,None,82070000000,0,2565000000
2022-12-31,USD,185727000000,59549000000,14681000000,40763000000,None,13466000000,40476000000,79518000000,None,21203000000,897000000,20306000000,52106000000,17000000,26082000000,5345000000,6583000000,60014000000,27026000000,6107000000,1008000000,129000000,10000000000,40191000000,558000000,9923000000,None,9923000000,19923000000,4906000000,7764000000,125713000000,None,64799000000,0,2639000000
2021-12-31,USD,165987000000,66666000000,16601000000,47998000000,None,14039000000,34771000000,57809000000,None,19831000000,634000000,19197000000,62828000000,34000000,31397000000,4629000000,2751000000,41108000000,21135000000,5135000000,1113000000,75000000,1127000000,26417000000,506000000,None,None,0,13873000000,15364000000,7227000000,124879000000,None,69761000000,0,2764000000
2020-12-31,USD,159316000000,75670000000,17576000000,61954000000,None,11335000000,31779000000,45633000000,None,19673000000,623000000,19050000000,88756000000,62000000,44378000000,2381000000,2758000000,31026000000,14981000000,1331000000,717000000,54000000,1023000000,21539000000,469000000,None,None,None,10654000000,12245000000,6414000000,128290000000,None,77345000000,0,2854000000
2019-12-31,USD,133376000000,66225000000,19079000000,54855000000,None,9518000000,31828000000,35323000000,10663000000,19609000000,894000000,18715000000,71552000000,None,35776000000,1852000000,2673000000,32322000000,15053000000,1363000000,503000000,855000000,800000000,18308000000,418000000,None,800000000,None,10324000000,12621000000,7745000000,101054000000,None,55692000000,0,2851000000
2018-12-31,USD,97334000000,50480000000,10019000000,41114000000,None,7587000000,46854000000,24683000000,6890000000,19595000000,1294000000,18301000000,62190000000,None,31095000000,1779000000,2576000000,13207000000,7017000000,820000000,264000000,None,500000000,6190000000,418000000,None,500000000,None,500000000,5550000000,6190000000,84127000000,None,41981000000,0,2875000000
2017-12-31,USD,84524000000,48563000000,8079000000,41711000000,None,5832000000,35961000000,13721000000,4616000000,20105000000,1884000000,18221000000,33632000000,None,33632000000,1020000000,2135000000,10177000000,3760000000,380000000,68000000,None,2081000000,6417000000,None,72000000,390000000,None,None,3282000000,6417000000,74347000000,None,33990000000,0,2910000000
2016-12-31,USD,64961000000,34401000000,8903000000,29449000000,None,3993000000,30560000000,8591000000,3212000000,20657000000,2535000000,18122000000,20546000000,None,20546000000,959000000,1312000000,5767000000,2875000000,302000000,62000000,None,1247000000,5323000000,None,112000000,280000000,None,None,2483000000,2892000000,59194000000,None,21670000000,0,2881000000
2015-12-31,USD,49407000000,21652000000,4907000000,18434000000,None,2559000000,27755000000,5687000000,2132000000,21272000000,3246000000,18026000000,5029000000,None,13527000000,659000000,796000000,5189000000,1925000000,196000000,28000000,208000000,7000000,6152000000,107000000,201000000,201000000,None,201000000,1666000000,3157000000,44218000000,None,9787000000,0,2824000000
2014-12-31,USD,39966000000,13390000000,4315000000,11199000000,None,1678000000,26514000000,3967000000,1817000000,21910000000,3929000000,17981000000,3422000000,None,6884000000,793000000,699000000,3870000000,1424000000,176000000,38000000,114000000,114000000,4841000000,119000000,119000000,114000000,None,233000000,1068000000,2327000000,36096000000,None,6099000000,0,2761000000
2013-12-31,USD,17895000000,13070000000,3323000000,11449000000,None,1109000000,4825000000,2882000000,1260000000,1722000000,883000000,839000000,4704000000,None,8126000000,461000000,221000000,2425000000,1100000000,87000000,13000000,239000000,239000000,2211000000,237000000,237000000,239000000,0,476000000,736000000,1088000000,15470000000,None,3159000000,0,2456000000
2012-12-31,USD,15103000000,11267000000,2384000000,9626000000,None,719000000,3836000000,2391000000,882000000,1388000000,801000000,587000000,7242000000,None,7242000000,471000000,57000000,3348000000,1052000000,65000000,8000000,365000000,365000000,2296000000,491000000,1500000000,365000000,1500000000,1500000000,592000000,305000000,11755000000,None,1659000000,0,2372000000
2011-12-31,USD,6331000000,4604000000,1512000000,1512000000,None,None,1727000000,1475000000,450000000,162000000,80000000,82000000,None,None,2396000000,149000000,90000000,1432000000,899000000,63000000,None,None,279000000,533000000,None,398000000,None,0,677000000,467000000,135000000,4899000000,None,1606000000,0,1330000000
