fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-12-31,USD,108131000000,134090000000,25959000000,25959000000,46751000000,23709000000,38483000000,65134000000,1639000000,-446000000,1008000000,446000000,134536000000,-150000000,11020000000,510000000,47428000000,8330000000,446000000,39098000000,40473000000,47874000000,48384000000,39098000000
2022-12-31,USD,91103000000,116352000000,25249000000,25249000000,28944000000,27078000000,35338000000,62981000000,461000000,-176000000,9000000,185000000,116528000000,-320000000,8500000000,565000000,28819000000,5619000000,176000000,23200000000,20363000000,28944000000,29560000000,23200000000
2021-12-31,USD,95125000000,117774000000,22649000000,22649000000,46753000000,23872000000,24655000000,49278000000,None,-15000000,531000000,15000000,117789000000,210000000,7560000000,751000000,47284000000,7914000000,15000000,39370000000,37750000000,46753000000,48050000000,39370000000
2020-12-31,USD,69130000000,85822000000,16692000000,16692000000,32671000000,18155000000,18447000000,37334000000,None,-14000000,672000000,14000000,85836000000,-34000000,6390000000,732000000,33180000000,4034000000,14000000,29146000000,30562000000,32671000000,33926000000,29146000000
2019-12-31,USD,57802000000,70572000000,12770000000,12770000000,23986000000,20341000000,13600000000,34698000000,924000000,-20000000,924000000,20000000,70592000000,27000000,5180000000,757000000,24812000000,6327000000,20000000,18485000000,18756000000,24832000000,25589000000,18485000000
2018-12-31,USD,46261000000,55616000000,9355000000,9355000000,24913000000,11297000000,10273000000,22287000000,661000000,-9000000,661000000,9000000,55625000000,9000000,3680000000,640000000,25361000000,3249000000,9000000,22112000000,21610000000,25370000000,26010000000,22112000000
2017-12-31,USD,35199000000,40653000000,5454000000,5454000000,20203000000,7242000000,7754000000,15736000000,398000000,-6000000,398000000,6000000,-6000000,5000000,2330000000,692000000,20594000000,4660000000,6000000,15934000000,16410000000,20600000000,21292000000,15934000000
2016-12-31,USD,23849000000,27638000000,3789000000,3789000000,12427000000,5503000000,5919000000,12239000000,176000000,-10000000,176000000,10000000,-76000000,1000000,1590000000,751000000,12518000000,2301000000,10000000,10217000000,9969000000,12528000000,13279000000,10217000000
2015-12-31,USD,15061000000,17928000000,2867000000,2867000000,6225000000,4020000000,4816000000,9610000000,52000000,-23000000,37000000,23000000,-66000000,6000000,1220000000,730000000,6194000000,2506000000,23000000,3688000000,3461000000,6217000000,6947000000,3688000000
2014-12-31,USD,10313000000,12466000000,2153000000,2153000000,4994000000,2653000000,2666000000,5657000000,27000000,-23000000,None,23000000,-87000000,-1000000,923000000,319000000,4910000000,1970000000,23000000,2940000000,2698000000,4933000000,5252000000,2940000000
2013-12-31,USD,5997000000,7872000000,1875000000,1875000000,2804000000,1778000000,1415000000,3450000000,19000000,-56000000,None,56000000,-70000000,1000000,857000000,145000000,2754000000,1254000000,56000000,1500000000,1512000000,2810000000,2955000000,1500000000
2012-12-31,USD,3725000000,5089000000,1364000000,1364000000,538000000,1788000000,1399000000,3316000000,14000000,-51000000,None,51000000,-9000000,2000000,566000000,78000000,494000000,441000000,51000000,53000000,61000000,545000000,623000000,53000000
