fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-12-31,USD,90144000000,3161000000,2032000000,11106000000,12000000,None,3323000000,491000000,None,2713000000,287000000,2426000000,18438000000,9074000000,9074000000,1488000000,None,81320000000,10325000000,None,None,None,10325000000,10325000000,122000000,21332000000,10325000000,None,1007000000,-10325000000,1267000000,8824000000,237000000,1041000000,7000000,681217334
2021-12-31,USD,59527000000,2227000000,2211000000,2227000000,-1984000000,None,2945000000,270000000,None,2426000000,None,2426000000,11652000000,5796000000,16000000,42795000000,None,52483000000,800000000,None,None,800000000,800000000,16811000000,249000000,657000000,3750000000,None,1457000000,-3768000000,862000000,7044000000,246000000,741000000,5000000,465015643
2020-12-31,USD,56306000000,2048712000,1948000000,1931576000,8318000,None,2980690000,287000000,None,2426379000,379000,2426000000,11774318000,5844909000,31576000,40540787000,None,49464000000,800000000,None,None,800000000,800000000,16350390000,266846000,655883000,None,None,1455883000,5813333000,944119000,6842000000,258000000,494000000,5000000,463901808
2019-12-31,USD,53640821000,774700000,742000000,774700000,12268000,None,3025199000,312626000,None,2426379000,None,2426379000,11828874000,5885887000,32830000,39607286000,None,46929127000,800000000,None,None,800000000,800000000,295066000,285991000,654966000,4525000000,None,1454966000,45474195000,None,6712000000,220717000,342023000,4904000,467346781
2018-12-31,USD,51899376000,1505506000,1475000000,1505506000,10794000,None,2782310000,346179000,None,2436131000,780000,2436131000,11350442000,5644071000,30551000,38158032000,None,45244141000,500000000,None,None,500000000,500000000,294697000,None,359508000,4631000000,None,859508000,44289936000,271845000,6655000000,161998000,297202000,4904000,473536604
2017-12-31,USD,49124195000,2563427000,2528169000,2528169000,16400000,None,2804786000,368655000,None,2436131000,6100000,2436131000,3577627000,3531427000,3531427000,38586130000,None,42328819000,450000000,None,None,450000000,450000000,12463679000,None,359179000,4173500000,None,809179000,41769640000,312977000,6795376000,7615000,237868000,4891000,488490352
2016-12-31,USD,48926555000,967002000,557850000,557850000,559229000,None,2810014000,373675000,None,2436339000,208000,2436131000,3859457000,3817057000,104281000,42531010000,None,42802564000,1800000000,None,None,1800000000,1800000000,12023379000,None,358879000,13673379000,None,2158879000,28887903000,241282000,6123991000,160000,128435000,4871000,487056676
2015-12-31,USD,50317796000,904895000,537674000,537674000,365027000,None,2761037000,322307000,None,2438730000,2599000,2436131000,6209045000,35983301000,204255000,39713509000,None,44383100000,4000000000,None,None,4000000000,4000000000,13822405000,None,358605000,15748741000,None,4358605000,28426758000,207937000,5934696000,447000,-36568000,4850000,484943308
2014-12-31,USD,48559217000,943549000,564150000,564150000,208670000,None,2763076000,319002000,None,2444074000,7943000,2436131000,7134250000,33264498000,173783000,37127980000,None,42777402000,5725000000,None,None,5725000000,5725000000,10541487000,None,358355000,14226999000,None,6083355000,28328734000,222181000,5781815000,1118000,464569000,4427000,442587190
2013-12-31,USD,46688287000,644550000,644550000,644550000,101431000,None,2709430000,273299000,None,2452371000,16240000,2436131000,8257935000,30002958000,280738000,34251186000,None,40952625000,6525000000,None,None,6525000000,6525000000,11230702000,None,358126000,None,None,3783126000,25660992000,186631000,5735662000,1032000,422761000,4409000,440809365
2012-12-31,USD,44145100000,3631628000,2427258000,2427258000,1278785000,None,2877017000,264149000,None,2612868000,176737000,2436131000,6117898000,28347886000,429266000,32931552000,None,38488836000,5325000000,None,None,5325000000,5325000000,9205191000,None,357917000,None,None,5682917000,24877521000,181124000,5656264000,1067000,387534000,4391000,439050966
2011-12-31,USD,42024302000,3038655000,2001737000,2001737000,1192885000,None,2855670000,250859000,None,2487799000,168680000,2436131000,5577434000,None,724662000,31206538000,None,36458598000,5725000000,None,None,5725000000,5725000000,9835413000,None,516920000,None,None,6241920000,None,None,5565704000,996000,324967000,4374000,437344796
2010-12-31,USD,41190689000,1927542000,1927542000,1927542000,1297555000,None,2854965000,233694000,None,2436159000,185112000,2436159000,5995968000,29041595000,652956000,30259625000,None,35664469000,4525000000,None,None,4525000000,4525000000,9411116000,None,1028857000,None,None,5153857000,21809051000,12819961000,5526220000,None,281844000,4356000,435646845
2009-12-31,USD,42153869000,2670857000,2670857000,2670857000,665000,None,2747330000,205165000,None,2542165000,105764000,2436401000,5742243000,None,1518646000,28730852000,None,36786967000,4125000000,None,None,4125000000,4125000000,10039686000,None,427371000,None,None,4552371000,None,None,5366902000,None,175193000,4332000,433197332
2008-12-31,USD,32466906000,23823470000,203216000,203216000,1107000,None,8643436000,217762000,None,87780000,87780000,2436401000,None,None,1010502000,22608319000,None,28247660000,27094000000,None,None,None,None,8861710000,None,12483376000,None,None,13496710000,None,None,4219246000,0,123511000,3450000,344985111
