fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-12-31,USD,746000000,1563000000,817000000,446000000,142000000,158000000,None,604000000,None,1396000000,2092000000,696000000,247000000,None,None,5000000,826000000,176000000,696000000,650000000,115000000,1522000000,1527000000,650000000
2021-12-31,USD,856000000,1400000000,544000000,391000000,338000000,127000000,None,518000000,None,1289000000,1689000000,400000000,61000000,None,None,21000000,806000000,210000000,400000000,596000000,536000000,1206000000,827000000,596000000
2020-12-31,USD,577923000,1151341000,573418000,386801000,453534000,124000000,None,511000000,None,1100000000,1708000000,608000000,61000000,None,None,23871000,588000000,77000000,607851000,511109000,518000000,1196000000,611675000,511000000
2019-12-31,USD,563894000,1082217000,518323000,390871000,52676000,120000000,None,511000000,None,957000000,1805000000,848000000,84000000,None,None,27096000,523000000,128000000,847760000,395043000,450000000,1371000000,550403000,395000000
2018-12-31,USD,539413000,1104297000,564884000,417603000,-7215000,129025000,None,546628000,None,1030995000,1689673000,658678000,91558000,None,None,32323000,557669000,135252000,658678000,422417000,349931000,1216347000,1248670000,422417000
2017-12-31,USD,668215000,1309641000,641426000,459948000,26997000,178557000,None,641218000,None,1130003000,1582239000,452236000,216880000,None,None,208000,668215000,202014000,452236000,466201000,507747000,1120451000,1120659000,466201000
2016-12-31,USD,777128000,1428774000,651646000,449979000,139019000,187558000,None,638109000,None,1287382000,1674869000,387487000,145572000,None,None,2391000,777128000,281727000,387487000,495401000,495709000,1164615000,1167006000,495401000
2015-12-31,USD,-132013000,633842000,765855000,445059000,-747613000,170541000,None,615600000,None,408075000,1691584000,1283509000,210763000,None,None,5344000,-132013000,-84857000,1424718000,-47156000,-48491000,1151496000,1156840000,-47156000
2014-12-31,USD,773066000,1360533000,587467000,405864000,193896000,173306000,None,579170000,None,1140353000,1683067000,542714000,201593000,None,None,8297000,773066000,287669000,542714000,485397000,466204000,1315780000,1324077000,485397000
2013-12-31,USD,716368000,1354688000,638320000,410448000,124590000,181330000,None,591778000,None,1166616000,1708098000,541482000,218830000,None,None,15784000,747126000,271579000,541482000,475547000,500759000,1288608000,1304392000,475547000
2012-12-31,USD,780909000,1457374000,676465000,387612000,187076000,206221000,None,593833000,None,1160021000,1791101000,631080000,297353000,None,None,19644000,780909000,279803000,633393000,501106000,511311000,1411989000,1431633000,501106000
2011-12-31,USD,734577000,1435746000,701169000,380247000,159894000,194436000,None,574683000,None,1200421000,1866664000,666243000,235325000,None,None,26066000,734577000,254540000,666243000,480037000,453822000,1400820000,1426886000,480037000
2010-12-31,USD,837471000,1517886000,680415000,362934000,291225000,183312000,None,546246000,None,1179963000,1913794000,733831000,337923000,None,None,31266000,837471000,296454000,730823000,541017000,545225000,1571302000,1602568000,541017000
2009-12-31,USD,530149000,999964000,469815000,258416000,146146000,125587000,None,384003000,None,905325000,1634612000,729287000,157639000,None,None,22812000,593149000,194503000,719233000,398646000,436652000,1322436000,1345248000,398646000
