fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2023-09-30,USD,111230000000,16070000000,6929000000,15665000000,12000000,None,4167000000,638000000,None,3087000000,661000000,2426000000,17459000000,8736000000,8736000000,2370000000,None,100237000000,83387000000,None,None,None,None,14585000000,None,14585000000,None,14585000000,14585000000,None,None,10993000000,217000000,3278000000,7000000,722485257
2023-06-30,USD,118796000000,23989000000,15806000000,23602000000,None,None,4312000000,660000000,None,3123000000,697000000,2426000000,15578000000,7796000000,7796000000,2613000000,None,107736000000,88497000000,None,None,None,None,16412000000,None,16412000000,None,None,16412000000,88497000000,2827000000,11060000000,217000000,3205000000,7000000,722475755
2023-03-31,USD,123706000000,30228000000,22250000000,29863000000,None,None,4138000000,628000000,None,3160000000,734000000,2426000000,15212000000,7613000000,7613000000,1305000000,None,112924000000,84800000000,None,None,None,None,21360000000,None,21360000000,None,21360000000,21360000000,84800000000,6764000000,10782000000,219000000,2923000000,7000000,722150297
2022-12-31,USD,90144000000,3161000000,2032000000,11106000000,12000000,None,3323000000,491000000,None,2713000000,287000000,2426000000,18438000000,9074000000,9074000000,1488000000,None,81320000000,10325000000,None,None,None,10325000000,10325000000,122000000,21332000000,10325000000,21332000000,1007000000,-10325000000,1267000000,8824000000,237000000,1041000000,7000000,681217334
2022-09-30,USD,62956000000,1714000000,1700000000,1714000000,5000000,None,2903000000,250000000,None,2426000000,None,2426000000,13392000000,6703000000,14000000,226000000,None,56210000000,300000000,None,None,300000000,300000000,56210000000,227000000,658000000,None,None,958000000,41705000000,707000000,6746000000,238000000,957000000,5000000,466136056
2022-06-30,USD,63093000000,3291000000,3277000000,3291000000,6000000,None,2910000000,252000000,None,2426000000,None,2426000000,11342000000,5678000000,14000000,215000000,None,56269000000,800000000,None,None,800000000,800000000,56269000000,232000000,657000000,None,None,1457000000,41244000000,718000000,6824000000,238000000,893000000,5000000,466243078
2022-03-31,USD,61005000000,2915000000,2900000000,2915000000,7000000,None,2935000000,266000000,None,2426000000,None,2426000000,11239000000,5627000000,15000000,215000000,None,54096000000,800000000,None,None,800000000,800000000,54096000000,243000000,657000000,None,None,1457000000,37954000000,805000000,6909000000,231000000,809000000,5000000,467024144
2021-12-31,USD,59527000000,2227000000,2211000000,2227000000,-1984000000,None,2945000000,270000000,None,2426000000,None,2426000000,11652000000,5796000000,16000000,-5780000000,None,52483000000,800000000,None,None,800000000,800000000,16811000000,249000000,657000000,None,None,1457000000,2012000000,862000000,7044000000,246000000,741000000,5000000,465015643
2021-09-30,USD,57890000000,2538000000,2522000000,2538000000,9000000,None,2952000000,274000000,None,2426000000,None,2426000000,11828000000,5914000000,16000000,41083000000,None,50923000000,800000000,None,None,800000000,800000000,14886000000,252000000,656000000,None,None,1456000000,34621000000,868000000,6967000000,246000000,678000000,5000000,465020799
2021-06-30,USD,57469000000,2102000000,2086000000,2102000000,8000000,None,2960000000,278000000,None,2426000000,None,2426000000,12186000000,6093000000,16000000,41115000000,None,50553000000,800000000,None,None,800000000,800000000,14915000000,256000000,656000000,None,None,1456000000,6077000000,917000000,6916000000,245000000,617000000,5000000,465056962
2021-03-31,USD,57656892000,2880151000,2722915000,2738716000,8153000,None,2970982000,282407000,None,2426379000,None,2426379000,12387412000,6193706000,15801000,40177024000,None,50860452000,800000000,None,None,800000000,800000000,15220956000,262169000,656164000,None,None,1456164000,6177905000,904529000,6796000000,245005000,552566000,4904000,465074384
2020-12-31,USD,56306000000,2048712000,1948000000,1931576000,8318000,None,2980690000,287000000,None,2426379000,379000,2426000000,11774318000,5844909000,31576000,40540787000,None,49464000000,800000000,None,None,800000000,800000000,15550390000,266846000,655883000,None,None,1455883000,5813333000,944119000,6842000000,258000000,494000000,5000000,463901808
2020-09-30,USD,54931755000,1607361000,1458641000,1490089000,9526000,None,2987682000,289788000,None,2426379000,26379000,2400000000,10530384000,5265192000,31448000,40800524000,None,48197025000,800000000,None,None,800000000,800000000,15154802000,271499000,655642000,None,None,1455642000,31704941000,808781000,6735000000,257521000,391528000,4904000,463904084
2020-06-30,USD,54210416000,1541407000,1404527000,1438045000,9526000,None,3001835000,297180000,None,2426379000,None,2426379000,10403400000,5201700000,33518000,40253394000,None,47517403000,800000000,None,None,800000000,800000000,14486336000,278272000,655403000,None,None,1455403000,31729581000,779758000,6693000000,257232000,362724000,4904000,463933831
2020-03-31,USD,54261093000,1366822000,741870000,1366822000,9526000,None,3014909000,306657000,None,2426379000,None,2426379000,10975722000,5487861000,32616000,40379741000,None,47623708000,800000000,None,None,800000000,800000000,295205000,281853000,655161000,None,None,1455161000,31972766000,718115000,6637000000,235678000,344344000,4904000,466360703
2019-12-31,USD,53640821000,774700000,742000000,774700000,12268000,None,3025199000,312626000,None,2426379000,None,2426379000,11828874000,5885887000,32830000,39607286000,None,46929127000,800000000,None,None,800000000,800000000,295066000,285991000,654966000,4525000000,None,1454966000,None,None,6712000000,220717000,342023000,4904000,467346781
2019-09-30,USD,52537629000,887539000,854678000,887539000,11691000,None,3049126000,321792000,None,2426379000,None,2426379000,11774858000,5887429000,32861000,39274151000,None,45842622000,800000000,None,None,800000000,800000000,294926000,300610000,359773000,None,None,1159773000,31572176000,644086000,6695007000,220669000,328407000,4904000,467350860
2019-06-30,USD,52776253000,1260880000,1228295000,1260880000,11691000,None,2754167000,327788000,None,2426379000,None,2426379000,11541462000,5770731000,32585000,39231231000,None,46101575000,800000000,None,None,800000000,800000000,294794000,308073000,359683000,None,None,1159683000,32332526000,686911000,6674678000,220546000,316921000,4904000,467358939
2019-03-31,USD,52131046000,1022147000,990019000,1022147000,12758000,None,2759100000,332721000,None,2426379000,780000,2426379000,11513544000,5756772000,32128000,39047508000,None,45501976000,800000000,None,None,800000000,800000000,294655000,312628000,359594000,None,None,1159594000,31601125000,642941000,6629070000,221728000,307232000,4904000,467236136
2018-12-31,USD,51899376000,1505506000,1475000000,1505506000,10794000,None,2782310000,346179000,None,2436131000,780000,2436131000,11350442000,40006088000,30551000,38158032000,None,45244141000,500000000,None,None,500000000,500000000,294697000,None,359508000,4631000000,None,859508000,30764430000,271845000,6655000000,161998000,297202000,4904000,473536604
2018-09-30,USD,51246654000,1763478000,1731754000,1763478000,13765000,None,2788649000,352518000,None,2436131000,1254000,2436131000,9592014000,39678616000,31724000,38131271000,None,44452639000,200000000,None,None,200000000,200000000,13640422000,None,359422000,None,None,559422000,30319284000,292933000,6794015000,1177000,286763000,4904000,490341864
2018-06-30,USD,50469170000,2236163000,2204397000,2236163000,14204000,None,2795856000,359725000,None,2436131000,4362000,2436131000,8309298000,39287173000,31766000,38237050000,None,43679818000,200000000,None,None,200000000,200000000,13593839000,None,359339000,13793839000,None,559339000,29555845000,330134000,6789352000,757000,271559000,4904000,490379705
2018-03-31,USD,49654874000,2712174000,2680772000,2680772000,15458000,None,2832512000,364312000,None,2436131000,5187000,2436131000,3456090000,38759685000,3391952000,39159389000,None,42874157000,450000000,None,None,450000000,450000000,12893759000,None,359259000,250000000,None,809259000,29235434000,294964000,6780717000,777000,255777000,4904000,490379532
2017-12-31,USD,49124195000,2563427000,2528169000,2528169000,35258000,None,2804786000,368655000,None,2436131000,6100000,2436131000,3577627000,38265183000,3531427000,38586130000,None,42328819000,450000000,None,None,450000000,450000000,12463679000,None,359179000,4173500000,None,809179000,29102163000,312977000,6795376000,7615000,237868000,4891000,488490352
2017-09-30,USD,48457891000,3382365000,3277427000,3277427000,104938000,None,2811613000,375482000,None,2436131000,2442992000,2436131000,3031026000,37452219000,3031026000,38052962000,None,41698237000,450000000,None,None,450000000,450000000,11913602000,None,359102000,12363820000,None,809102000,28893197000,441438000,6759654000,130000,192607000,4891000,489061848
2017-06-30,USD,48347658000,2933570000,1129846000,1129846000,544995000,None,2816477000,380322000,None,2436155000,24000,2436131000,3171117000,38900080000,3171117000,39124973000,None,41612880000,450000000,None,None,450000000,450000000,11913526000,None,359026000,12367737000,None,809026000,28893565000,355789000,6734778000,502000,173409000,4891000,489023298
2017-03-31,USD,48824564000,1200277000,984296000,984296000,563244000,None,2815489000,379304000,None,2436185000,54000,2436131000,3692328000,37392020000,50224000,40263519000,None,42177213000,1500000000,None,None,1500000000,1500000000,11713452000,None,358952000,12854500000,None,1858952000,28726546000,237215000,6647351000,None,149425000,4890000,488953712
2016-12-31,USD,48926555000,967002000,557850000,557850000,559229000,None,2810014000,373675000,None,2436339000,208000,2436131000,3859457000,37633584000,104281000,42531010000,None,42802564000,1800000000,None,None,1800000000,1800000000,12023379000,None,358879000,13673379000,None,2158879000,28887903000,241282000,6123991000,160000,128435000,4871000,487056676
2016-09-30,USD,49462620000,1473180000,771782000,771782000,473481000,None,2804105000,367369000,None,2436736000,605000,2436131000,3813070000,37907433000,161145000,40978203000,None,43372108000,1500000000,None,None,1500000000,1500000000,11941809000,None,358809000,13643000000,None,1858809000,29139599000,230700000,6090512000,25000,97431000,4871000,487066151
2016-06-30,USD,49035747000,1284183000,674289000,674289000,425047000,None,2804198000,366921000,None,2437277000,1146000,2436131000,3976831000,37257365000,154270000,40526176000,None,42996635000,1500000000,None,None,1500000000,1500000000,11973139000,None,358739000,13549400000,None,1858739000,28882992000,205504000,6039112000,94000,54866000,4870000,487009706
2016-03-31,USD,48515572000,1122156000,650880000,650880000,369674000,None,2762901000,325017000,None,2437884000,1753000,2436131000,4220999000,36496380000,152249000,39848648000,None,42530772000,1500000000,None,None,1500000000,1500000000,11291772000,None,358672000,12986100000,None,1858672000,28982312000,203688000,5984800000,21000,11135000000,4869000,486929814
2015-12-31,USD,50317796000,904895000,537674000,537674000,365027000,None,2761037000,322307000,None,2438730000,2599000,2436131000,6209045000,35983301000,204255000,39713509000,None,44383100000,4000000000,None,None,4000000000,4000000000,13822405000,None,358605000,15748741000,None,4358605000,28426758000,207937000,5934696000,447000,-36568000,4850000,484943308
2015-09-30,USD,49045482000,966407000,585794000,585794000,279507000,None,2767388000,327523000,None,2439865000,3734000,2436131000,6759611000,34381133000,162326000,37917973000,None,43218645000,3325000000,None,None,3325000000,3325000000,10887785000,None,358541000,None,None,3683541000,28280171000,214689000,5826837000,426000,489383000,4444000,444319494
2015-06-30,USD,48648532000,888183000,588718000,588718000,281065000,None,2766902000,325757000,None,2441145000,5014000,2436131000,6823503000,33794355000,165140000,37405808000,None,42833909000,3325000000,None,None,3325000000,3325000000,10268423000,None,358477000,None,None,3683477000,28597173000,225313000,5814623000,109000,485683000,4444000,444336836
2015-03-31,USD,48251715000,934025000,582558000,582558000,226013000,None,2764529000,322039000,None,2442490000,6359000,2436131000,6960593000,33221657000,175710000,36943364000,None,42456918000,3425000000,None,None,3425000000,3425000000,9344402000,None,358415000,None,None,3783415000,28931387000,261129000,5794797000,7000,472977000,4443000,444277802
2014-12-31,USD,48559217000,943549000,564150000,564150000,208670000,None,2763076000,319002000,None,2444074000,7943000,2436131000,7134250000,33264498000,173783000,37127980000,None,42777402000,5725000000,None,None,5725000000,5725000000,10541487000,None,358355000,14226999000,None,6083355000,28328734000,222181000,5781815000,1118000,464569000,4427000,442587190
2014-09-30,USD,48679772000,1342684000,662537000,662537000,135833000,None,2746520000,300573000,None,2445947000,9816000,2436131000,7508674000,32792412000,243032000,36724843000,None,42901774000,3425000000,None,None,3425000000,3425000000,10670612000,None,358296000,None,None,3783296000,28307771000,197091000,443949000,178000,443949000,4427000,442648147
2014-06-30,USD,48604772000,977845000,668950000,668950000,105977000,None,2736460000,288494000,None,2447966000,11835000,2436131000,7792958000,32155362000,245047000,36385535000,None,42843754000,3425000000,None,None,3425000000,3425000000,11447366000,None,358238000,None,None,3783238000,27352469000,189619000,5761018000,66000,434336000,4427000,442655048
2014-03-31,USD,47567470000,672872000,672872000,672872000,104925000,None,2714347000,278216000,None,13918000,13918000,2436131000,8218653000,30994510000,245321000,35165244000,None,41824818000,3425000000,None,None,3425000000,3425000000,10873080000,None,358181000,None,None,3783181000,26753566000,243872000,5742652000,84000,426251000,4427000,442654213
2013-12-31,USD,46688287000,644550000,644550000,644550000,101431000,None,2709430000,273299000,None,2452371000,16240000,2436131000,8257935000,30002958000,280738000,34251186000,None,40952625000,6525000000,None,None,6525000000,6525000000,11230702000,None,358126000,None,None,3783126000,25660992000,186631000,5735662000,1032000,422761000,4409000,440809365
2013-09-30,USD,45073642000,1253562000,1253562000,1253562000,388345000,None,2700601000,264470000,None,19305000,19305000,2436131000,7364707000,29313371000,305703000,33657431000,None,40067088000,3425000000,None,None,3425000000,3425000000,11036142000,None,358072000,None,None,3783072000,25309350000,192296000,5697045000,65000,412742000,4409000,440868895
2013-06-30,USD,44185838000,1319710000,1319710000,1319710000,880187000,None,2701452000,265321000,None,23422000,23422000,2436131000,6698296000,28667254000,315090000,33137627000,None,38497377000,3425000000,None,None,3425000000,3425000000,9462717000,None,358019000,None,None,3783019000,25287862000,217498000,5688461000,118000,408680000,4409000,440858405
2013-03-31,USD,44511718000,2773153000,2055058000,2055058000,835301000,None,2728394000,264660000,None,2463734000,27603000,2436131000,6182282000,28692085000,324361000,33218136000,None,38846104000,4125000000,None,None,4125000000,4125000000,8924268000,None,357967000,None,None,4482967000,25477672000,189864000,5665614000,None,396242000,4409000,440867068
2012-12-31,USD,44145100000,3631628000,2427258000,2427258000,1278785000,None,2877017000,264149000,None,2612868000,32024000,2436131000,6117898000,28347886000,429266000,32931552000,None,38488836000,5325000000,None,None,5325000000,5325000000,9205191000,None,357917000,None,None,5682917000,24877521000,181124000,5656264000,1067000,387534000,4391000,439050966
2012-09-30,USD,44093795000,3750057000,2538290000,2538290000,1306103000,None,2726369000,253504000,None,2472865000,36734000,2436131000,6355975000,None,None,32967404000,None,38451330000,4125000000,None,None,4125000000,4125000000,9372085000,None,427077000,None,None,4552077000,None,None,5642465000,258000,374351000,4391000,439114402
2012-06-30,USD,43487347000,4220013000,3160673000,3160673000,1157373000,None,2728395000,250675000,None,2477720000,41589000,2436131000,5324430000,None,None,32565471000,None,37875828000,4125000000,None,None,4125000000,4125000000,8274312000,None,427029000,None,None,4552029000,None,None,5611519000,134000,355215000,4391000,439124100
2012-03-31,USD,43038151000,2860135000,2355784000,2355784000,622920000,None,2733295000,250656000,None,46508000,46508000,2436131000,5382160000,None,None,32272579000,None,37458210000,4125000000,None,None,4125000000,4125000000,10056831000,None,516975000,None,None,4641975000,None,None,5579941000,5000,333666000,4391000,439133548
2011-12-31,USD,42024302000,3038655000,2001737000,2001737000,1192885000,None,2855670000,250859000,None,51668000,51668000,2436131000,5577434000,None,724662000,31206538000,None,36458598000,5725000000,None,None,5725000000,5725000000,9835413000,None,516920000,None,None,6241920000,None,None,5565704000,996000,324967000,4374000,437344796
2011-09-30,USD,41969028000,2601946000,1596680000,1596680000,1192034000,None,2738744000,245497000,None,57116000,57116000,2436131000,6152882000,29850504000,5147616000,31661878000,None,36395457000,4125000000,None,None,4125000000,4125000000,8681520000,None,1028847000,None,None,5153847000,22752647000,227733000,5573571000,69000,316572000,4374000,437421005
2011-06-30,USD,40602625000,1201837000,710113000,710113000,629800000,None,2745135000,245799000,None,63205000,63205000,2436131000,6160639000,28838867000,5668915000,30591015000,None,35042522000,4125000000,None,None,4125000000,4125000000,8283758000,None,1028772000,None,None,5153772000,21797711000,227527000,5560103000,150000,306082000,4374000,437414149
2011-03-31,USD,41046944000,2859190000,2351729000,2351729000,588658000,None,2753483000,246975000,None,70349000,70349000,2436159000,5302458000,28515067000,4794997000,30369552000,None,35506358000,4125000000,None,None,4125000000,4125000000,8286066000,None,1028799000,None,None,5153799000,22198147000,288649000,5540586000,None,295866000,4373000,437341143
2010-12-31,USD,41190689000,1927542000,1927542000,1927542000,1297555000,None,2854965000,233694000,None,77734000,77734000,2436159000,5995968000,29041595000,652956000,30259625000,None,35664469000,4525000000,None,None,4525000000,4525000000,9411116000,None,1028857000,None,None,5153857000,21809051000,12819961000,5526220000,None,281844000,4356000,435646845
2010-09-30,USD,41701607000,2235091000,2238157000,2235091000,1445316000,None,2721549000,199817000,None,85407000,85407000,2436325000,6094848000,None,12554664000,18657552000,None,36211140000,4125000000,None,None,4125000000,4125000000,427079000,None,427079000,None,None,4552079000,None,None,5495298000,None,245597000,4356000,435586117
2010-06-30,USD,42005916000,2614325000,2617391000,2614325000,960693000,None,2729786000,200233000,None,93226000,93226000,2436327000,5627812000,None,12585674000,18558107000,None,36564313000,4125000000,None,None,4125000000,4125000000,427205000,None,427205000,None,None,4552205000,None,None,5446434000,None,218730000,4355000,435504508
2010-03-31,USD,42430737000,2547889000,2547889000,2547889000,780505000,None,2740023000,202514000,None,101108000,101108000,2436401000,6313834000,None,1104296000,30796508000,None,37017276000,4125000000,None,None,4125000000,4125000000,9097275000,None,427251000,None,None,4552251000,None,None,5413461000,None,191185000,4354000,435441094
2009-12-31,USD,42153869000,2670857000,2670857000,2670857000,665000,None,2747330000,205165000,None,105764000,105764000,2436401000,5742243000,None,1518646000,28730852000,None,36786967000,4125000000,None,None,4125000000,4125000000,10039686000,None,427371000,None,None,4552371000,None,None,5366902000,None,175193000,4332000,433197332
2009-09-30,USD,32884468000,153838000,153838000,153838000,15279000,None,2715228000,207622000,None,71205000,71205000,2436401000,5455030000,None,812995000,24560372000,None,28543929000,4200000000,None,None,4200000000,4200000000,8509403000,None,435227000,None,None,4635227000,None,None,4340539000,28000,109609000,3558000,355839733
2009-06-30,USD,32860123000,162764000,162764000,162764000,1467000,None,2724155000,211137000,None,76617000,76617000,2436401000,5638886000,None,849113000,24334318000,None,28649457000,4225000000,None,None,4225000000,4225000000,8914515000,None,483987000,None,None,4708987000,None,None,4210666000,1000,97125000,3452000,345208174
