fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-09-30,USD,292000000,1066000000,774000000,346000000,-477000000,184000000,None,769000000,None,882000000,1512000000,630000000,160000000,None,11000000,36000000,268000000,61000000,630000000,207000000,54000000,898000000,934000000,207000000
2023-06-30,USD,523000000,1233000000,710000000,289000000,-168000000,176000000,None,691000000,None,900000000,1498000000,598000000,302000000,None,10000000,37000000,492000000,79000000,598000000,413000000,400000000,1090000000,1127000000,413000000
2023-03-31,USD,1857000000,2503000000,646000000,256000000,1329000000,136000000,None,528000000,None,555000000,1034000000,479000000,2098000000,None,8000000,25000000,2007000000,1000000,479000000,2006000000,1997000000,2486000000,2511000000,2006000000
2022-12-31,USD,60000000,453000000,393000000,80000000,-207000000,63000000,None,204000000,None,379000000,681000000,302000000,198000000,None,None,5000000,184000000,12000000,302000000,172000000,154000000,486000000,491000000,172000000
2022-09-30,USD,217000000,355000000,138000000,101000000,85000000,31000000,None,132000000,None,326000000,509000000,183000000,17000000,None,4000000,4000000,205000000,53000000,183000000,152000000,3000000,388000000,392000000,152000000
2022-06-30,USD,233000000,380000000,147000000,101000000,99000000,33000000,None,134000000,None,359000000,473000000,114000000,18000000,None,4000000,4000000,230000000,59000000,114000000,171000000,2000000,344000000,348000000,171000000
2022-03-31,USD,221000000,360000000,139000000,103000000,87000000,31000000,None,134000000,None,332000000,429000000,97000000,14000000,None,5000000,5000000,207000000,52000000,97000000,155000000,-44000000,304000000,309000000,155000000
2021-12-31,USD,207000000,346000000,139000000,None,79000000,31000000,None,128000000,None,322000000,420000000,98000000,16000000,None,None,5000000,199000000,49000000,98000000,150000000,157000000,297000000,302000000,150000000
2021-09-30,USD,213000000,347000000,134000000,99000000,84000000,30000000,None,129000000,None,318000000,415000000,97000000,15000000,None,None,5000000,199000000,50000000,97000000,149000000,132000000,296000000,301000000,149000000
2021-06-30,USD,230000000,365000000,135000000,96000000,101000000,33000000,None,129000000,None,331000000,431000000,100000000,16000000,None,None,5643000,212000000,60000000,100000000,152000000,199000000,312000000,317643000,152000000
2021-03-31,USD,206426000,342396000,135970000,99507000,173532000,33000000,None,132000000,None,318000000,423000000,105000000,14000000,None,None,5357000,196000000,51000000,105449000,145596000,48000000,301000000,306902000,145000000
2020-12-31,USD,180643000,325247000,144604000,None,142527000,38000000,None,133000000,None,308000000,426000000,118000000,15000000,None,None,5389000,179000000,-11000000,117910000,189664000,189000000,297000000,301645000,190000000
2020-09-30,USD,154580000,296104000,141524000,97142000,123214000,31000000,None,129000000,None,282000000,418000000,136000000,14000000,None,None,5815000,154000000,38000000,136163000,115770000,121000000,290000000,296108000,116000000
2020-06-30,USD,136100000,277267000,141167000,96882000,109389000,27000000,None,123000000,None,266000000,423000000,157000000,15000000,None,None,6260000,140000000,35000000,157203000,105347000,156000000,297000000,303548000,105000000
2020-03-31,USD,106602000,252725000,146123000,97326000,78406000,28196000,None,126000000,None,244467000,441042000,196575000,16899000,None,None,6407000,115243000,14915000,196575000,100328000,52606000,311818000,318225000,100328000
2019-12-31,USD,150682000,278481000,127799000,None,-271186000,30650000,None,421650000,None,242070000,450523000,208453000,17232000,None,None,6625000,131826000,30695000,208213000,101174000,96329000,340279000,346971000,101131000
2019-09-30,USD,142385000,265687000,123302000,96907000,115990000,26395000,None,26395000,None,235915000,454551000,218636000,24386000,None,None,6700000,132218000,33172000,218636000,99046000,100110000,350854000,357554000,99046000
2019-06-30,USD,130391000,253443000,123052000,94462000,101801000,28590000,None,28590000,None,237690000,453752000,216062000,17597000,None,None,6821000,130391000,33145000,216062000,97246000,125301000,346453000,353274000,97246000
2019-03-31,USD,129787000,267332000,137545000,104402000,95422000,34365000,None,34365000,None,241325000,446174000,204849000,24785000,None,None,6950000,128565000,30988000,204849000,97577000,128260000,333414000,340364000,97577000
2018-12-31,USD,129823000,267539000,137716000,198406000,-5123000,34226000,None,134946000,None,247236000,442872000,195636000,23073000,None,None,7935000,132593000,30854000,195636000,101739000,105150000,328229000,336164000,101739000
2018-09-30,USD,136794000,271227000,134433000,102684000,2361000,31749000,None,134433000,None,249506000,425144000,175638000,22922000,None,7839000,7839000,136794000,30022000,175638000,106772000,87296000,312432000,320271000,106772000
2018-06-30,USD,143805000,281947000,138142000,105340000,5663000,32802000,None,138142000,None,263955000,417332000,153377000,22706000,None,8167000,8167000,143805000,36451000,153377000,107354000,91548000,297182000,305349000,107354000
2018-03-31,USD,134906000,283584000,148678000,108859000,-4201000,30248000,None,139107000,None,270298000,404325000,134027000,22857000,None,8382000,8382000,144477000,37925000,134027000,106552000,65937000,278504000,286886000,106552000
2017-12-31,USD,179223000,293391000,114168000,122322000,30739000,41382000,None,148484000,None,270974000,390370000,119396000,25343000,None,None,0,144907000,8386000,119396000,136521000,125721000,264303000,264303000,136521000
2017-09-30,USD,178452000,340686000,162234000,116727000,16242000,44831000,None,162210000,None,276343000,393675000,117332000,108928000,None,8914000,24000,178452000,67984000,117332000,110468000,107402000,295784000,295808000,110468000
2017-06-30,USD,180702000,344467000,163765000,116263000,16967000,46820000,None,163735000,None,287769000,399075000,111306000,50437000,None,7958000,30000,180702000,65447000,111306000,115255000,170013000,292008000,292038000,115255000
2017-03-31,USD,164154000,331097000,166943000,120613000,-2635000,45524000,None,166789000,None,294917000,399119000,104202000,32172000,None,None,154000,164154000,60197000,104202000,103957000,104611000,268356000,268510000,103957000
2016-12-31,USD,173776000,344378000,170602000,103344000,10043000,48249000,None,163733000,None,315520000,415348000,99828000,32374000,None,None,397000,173776000,60043000,99828000,113733000,108293000,273604000,274001000,113733000
2016-09-30,USD,197388000,359073000,161685000,110426000,38456000,48506000,None,158932000,None,318423000,416096000,97673000,40595000,None,None,542000,197388000,72089000,97673000,125299000,126096000,295061000,295603000,125299000
2016-06-30,USD,201133000,362044000,160911000,109522000,42078000,49533000,None,159055000,None,325573000,419615000,94042000,37366000,None,None,606000,201133000,74673000,94042000,126460000,128994000,295175000,295781000,126460000
2016-03-31,USD,204831000,363279000,158448000,115119000,48442000,41270000,None,156389000,None,327866000,423810000,95944000,35237000,None,None,846000,204831000,74922000,95944000,129909000,132326000,300775000,301621000,129909000
2015-12-31,USD,-693625000,678238000,309781000,867386000,-857360000,50345000,None,163735000,None,-449202000,424501000,873703000,59041000,None,None,1135000,-693625000,-288818000,1014912000,-404807000,-408401000,180078000,181213000,-404807000
2015-09-30,USD,178719000,326027000,147308000,110153000,32691000,35875000,None,146028000,None,279412000,416550000,137138000,37587000,None,None,1280000,178719000,64031000,137138000,114688000,114871000,315857000,317137000,114688000
2015-06-30,USD,194400000,346664000,152264000,109008000,43815000,41577000,None,150585000,None,285097000,421620000,136523000,61901000,None,None,1345000,194734000,71030000,136523000,123704000,122800000,331257000,332602000,123704000
2015-03-31,USD,188152000,344995000,156843000,112508000,32900000,42744000,None,155252000,None,292768000,428913000,136145000,52234000,None,None,1584000,188159000,68900000,136145000,119259000,122239000,324304000,325888000,119259000
2014-12-31,USD,206250000,354361000,148111000,138921000,60012000,42987000,None,146238000,None,283682000,422803000,139121000,70479000,None,None,-18783000,206250000,75053000,139121000,672794000,107944000,345371000,326588000,131197000
