fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2023-09-30,USD,4193417000,3809397000,1040310000,3283574000,None,430300000,412332000,50133000,95548000,28312000,28312000,None,4618408000,None,2243264000,95554000,143696000,921520000,688925000,9475000,747987000,None,52204000,230361000,236271000,None,None,None,236271000,174753000,11414000,3190015000,None,-5743004000,2174000,2175241000
2023-06-30,USD,3980264000,3576914000,1055923000,3103252000,None,375756000,434071000,54097000,90431000,30721000,30721000,None,4078144000,None,2047329000,97906000,149592000,945126000,685384000,4613000,808543000,None,51855000,256643000,245989000,None,None,None,245989000,184617000,12101000,2955474000,None,-5814509000,2149000,2149980000
2023-03-31,USD,3683138000,3256147000,1264738000,2904535000,11946000,254000000,460121000,63115000,85527000,33130000,33130000,None,3462313000,None,1639797000,85625000,141762000,879945000,601413000,4530000,711851000,None,53066000,274370000,259488000,None,None,None,259488000,174525000,13548000,2723733000,None,-5842636000,2117000,2117730000
2022-12-31,USD,3461239000,3041577000,2598540000,2633675000,16244000,258346000,493139000,69170000,82412000,73477000,35539000,37938000,35135000,None,35135000,133312000,150252000,818802000,587941000,44788000,532515000,None,45099000,226925000,249404000,None,None,None,249404000,172715000,12655000,2565326000,None,-5859438000,2099000,2099075000
2022-09-30,USD,3318835000,2946610000,2411290000,2468632000,None,343300000,372225000,57822000,74677000,None,None,None,57342000,None,57342000,134714000,94142000,932220000,688350000,59507000,681954000,None,40233000,238337000,245136000,None,None,None,245136000,164697000,2051000,2386615000,None,-5890316000,2080000,2079664000
2022-06-30,USD,3282338000,2902439000,2358393000,2457603000,None,265826000,379899000,47644000,71385000,None,None,None,99210000,None,99210000,179010000,92198000,933514000,665742000,56798000,683584000,None,40909000,252360000,256968000,None,None,None,256968000,187568000,2158000,2348824000,None,-5766441000,2063000,2062741000
2022-03-31,USD,3319179000,2927374000,2269411000,2521974000,None,256554000,391805000,41866000,69745000,None,None,None,252563000,None,252563000,148846000,95829000,954433000,669104000,27454000,758665000,None,40045000,263053000,267662000,None,None,None,267662000,150176000,2192000,2364746000,None,-5587112000,2046000,2045876000
2021-12-31,USD,3247450000,2863250000,2290674000,2524827000,36628000,190923000,384200000,31304000,69930000,5705000,3836000,1869000,234153000,None,234153000,110872000,96386000,956420000,660061000,74907000,731333000,None,39927000,262660000,260073000,None,None,0,260073000,155806000,2297000,2291030000,None,-5485733000,2027000,2027474000
2021-09-30,USD,3224327000,2811490000,2335068000,2483145000,41316000,174405000,412837000,28778000,92214000,None,None,None,148077000,None,148077000,112624000,116422000,976271000,681509000,17654000,745123000,None,43581000,252028000,263227000,None,None,None,263227000,179467000,5659000,2248056000,None,-5329545000,1991000,1991118000
2021-06-30,USD,3075668000,2662552000,2341156000,2341156000,36750000,242998000,413116000,24824000,89943000,None,None,None,None,None,None,41648000,117135000,1006705000,682586000,30914000,790529000,None,33162000,261387000,249792000,None,None,None,249792000,166252000,4239000,2068963000,None,-5227408000,1937000,1936578000
2021-03-31,USD,3014185000,2589698000,2339437000,2339437000,37106000,151400000,424487000,27378000,91570000,None,None,None,None,None,None,61755000,111845000,1208242000,667626000,17234000,783896000,None,32110000,469848000,254539000,198185000,None,198185000,198185000,181603000,4236000,1805943000,None,-5088828000,1860000,1860607000
2020-12-31,USD,2690504000,2257429000,2011323000,2011323000,37285000,156932000,433075000,29541000,88399000,None,None,None,None,None,None,51889000,106921000,1167954000,603823000,16358000,771923000,None,29079000,482618000,258879000,397977000,None,197977000,397977000,158546000,4316000,1522550000,0,-4965354000,1792000,1792139544
2020-09-30,USD,2603712000,2394424000,1800190000,1800190000,43800000,162269000,209288000,29369000,92964000,None,None,None,None,None,None,388165000,93576000,1351959000,942187000,22221000,71000000,None,None,307541000,None,197753000,None,197753000,197753000,466999000,42724000,1251753000,None,-4817011000,1727000,1726685755
