fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-12-31,USD,5764276000,3305298000,690630000,2158409000,645636000,129450000,2362991000,719793000,48116000,456332000,207725000,248607000,1364193000,31250000,1467779000,150389000,None,1704062000,635275000,191895000,229898000,13291000,121077000,794547000,37988000,9000000,5142000,193919000,9000000,34060000,193051000,4060214000,96261000,-3120911000,6084000,590345658
2021-12-31,USD,5950076000,4448525000,2481269000,3869529000,269163000,None,1424566000,255623000,29124000,378644000,158208000,220436000,1253157000,12892000,1388260000,59888000,None,1344380000,420553000,92307000,366180000,35252000,15300000,599389000,24611000,692092000,15252000,192633000,707392000,39800000,139797000,4605696000,72526000,-2396903000,5947000,577654900
2020-12-31,USD,2251282000,1603196000,1312404000,1312404000,139386000,None,566742000,74549000,22186000,111651000,39251000,72400000,1000000,1000000,None,45550000,None,784363000,222366000,50198000,132504000,50789000,25400000,263148000,4493000,200791000,25389000,175402000,226191000,9421000,40447000,1466919000,40434000,-1907515000,4740000,458051920
2019-12-31,USD,771184000,313660000,139496000,139496000,72391000,None,449271000,14959000,17417000,14381000,5539000,8842000,None,None,None,21192000,None,528459000,133962000,40376000,78540000,26461000,117148000,133628000,2011000,138630000,26461000,112169000,255778000,8543000,2818000,129904000,31216000,-1345807000,3186000,303378515
2018-12-31,USD,390326000,155615000,38602000,38602000,47910000,None,79934000,12869000,None,12913000,3890000,9023000,None,None,None,9867000,None,355970000,146370000,34824000,80552000,91100000,74297000,28172000,192340000,63247000,16803000,133000,63247000,560000,18000,-3588000,30637000,-1260290000,2342000,219157998
2017-12-31,USD,270810000,119607000,24828000,24828000,48776000,None,238915000,196356000,None,13230000,3785000,9445000,None,None,13898000,16774000,None,196455000,115721000,42362000,44839000,18762000,53268000,47174000,71575000,13371000,18762000,13371000,103708000,866000,94000,73646000,3102000,-1178636000,2291000,228486366
2016-12-31,USD,240832000,110933000,46014000,46014000,29940000,None,176537000,120910000,None,12224000,3933000,8291000,None,None,11219000,11837000,None,146122000,66485000,32112000,35949000,2964000,17751000,38483000,44554000,20829000,2964000,20829000,68347000,1615000,241000,85088000,3091000,-1051467000,1917000,191141646
2015-12-31,USD,209456000,131230000,63961000,63961000,32752000,None,64200000,7255000,27970000,13122000,4644000,8478000,None,383000,4012000,7855000,None,83567000,42706000,20455000,18500000,None,11914000,14367000,None,14809000,2964000,None,14809000,1160000,370000,124736000,2909000,-993876000,1806000,180087491
2014-12-31,USD,204151000,192746000,146205000,146205071,24736000,1047000,6802226,5312000,26539000,1937000,1490000,447000,None,447408,71,5709766,None,44715000,25707000,10185000,10100000,586879,586879,8893739,None,2426000,586879,None,3012907,1555000,392000,158283000,2662000,-938080766,1736000,173266416
2013-12-31,USD,35355621,21983432,5027000,5526523,10406320,None,8179262,5277667,25726628,2901595,2901595,None,90000,None,499523,1850859,None,50856691,10873401,3094385,9000000,586879,717870,2492330,None,2492330,0,2492330,3797079,679176,765281,-17871000,1552382,-849437066,1063566,106356558
2012-12-31,USD,39460002,23940698,9380000,9380059,8550457,4021725,12549505,6708237,27394851,5270571,5270571,None,90000,570697,59,1988457,None,24429699,17039200,3558157,4362092,650379,4031214,7390499,1304749,3380835,3380835,None,3380835,0,1247833,15032000,1552382,-786646266,384048,38404764
2011-12-31,USD,55655999,39494523,13856893,13856893,10354707,13388909,16161476,8686840,25616113,7474636,7474636,636,None,None,None,1894014,None,26620334,17042913,4668721,5542004,None,5405110,6540592,None,5405110,None,None,5405110,80000,1219602,29035665,1552382,-754783812,229244,22758505
2010-12-31,USD,59176925,38678661,10955403,10955403,10539116,None,20498264,9838631,None,9871394000,9871394,-9861522606,None,None,10403315,1000000,None,16263562,15019834,3560048,None,None,9956,1243728,None,None,9956,None,9956,1901372,1243728,42913363,1719510,-727329858,133699,13123162
