fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-12-31,USD,-194356000,701440000,895796000,19000000,-679550000,363929000,99579000,485194000,-990000,-39037000,37259000,39037000,-2649000,-2303000,30402000,21195000,-723169000,839000,40023000,-724008000,-748480000,-684132000,-662937000,-724008000
2021-12-31,USD,-171310000,502342000,673652000,6900000,-437324000,179852000,64762000,266014000,-9232000,-43225000,4040000,43225000,-81000,-765000,20900000,2469000,-476162000,-16197000,43225000,-459965000,-463948000,-432937000,-430468000,-459965000
2020-12-31,USD,-469416000,16886000,376179000,376179000,-584202000,79348000,27848000,114786000,None,-800000,59710000,60510000,17686000,-739000,14434000,1135000,-627000000,-30845000,-16886000,-596200000,-594992000,-566490000,-565355000,-596155000
2019-12-31,USD,10648000,229975000,219327000,219327000,-47613000,43202000,15059000,58261000,None,-8821000,28212000,37033000,-730000,-160000,11938000,9098000,-93079000,-9336000,8821000,-76129000,-84039000,-47613000,-46948000,-83743000
2018-12-31,USD,2622000,174215000,171593000,200219000,-76439000,37685000,12750000,50435000,None,-6347000,17849000,6347000,16400000,-17849000,11832000,300000,-94903000,-9295000,6347000,-78115000,-86218000,-76439000,-88256000,-85608000
2017-12-31,USD,-28089000,100153000,131351000,128242000,-101792000,45010000,28693000,73703000,None,-770000,25288000,770000,None,-25288000,9190000,9190000,-119936000,7144000,770000,-134224000,-125133000,-101792000,-109976000,-127080000
2016-12-31,USD,3946000,82819000,81982000,78873000,-51519000,34288000,21177000,55465000,None,-1760000,6360000,1760000,-41000,-6360000,1800000,4650000,-57879000,-392000,1760000,-57487000,-58038000,-51519000,-51469000,-57487000
2015-12-31,USD,-9890000,103288000,113178000,84498000,-59002000,34164000,14948000,49112000,None,-390000,3428000,390000,None,3702000,1500000,2006000,-69034000,-13344000,390000,-42346000,-55790000,-59002000,-66638000,-55690000
2014-12-31,USD,-4862000,64230000,69092000,65890330,-37932000,26601000,6469000,33070000,None,-387288,None,387288,-78059,1766219,1400000,1946000,-88813000,-325000,387288,-88487823,-88488000,-37932000,-86479712,-88488000
2013-12-31,USD,-11248000,26601000,37849000,35342679,-28965000,14596000,3121000,17717000,None,-398275,None,398275,-37500093,150006,-1400000,1908000,-63080000,-410000,398275,-29374830,-62777000,-28965000,-60773725,-62670000
2012-12-31,USD,-28432729,26108457,54541186,37657699,-36671781,14576998,5434235,24389765,None,-261958,None,261958,-72043,4845165,-1900000,2069672,-31862454,0,261958,-31862000,-31786786,-36671781,-29530824,-31862454
2011-12-31,USD,-19912501,27625942,47538443,30669602,-31127101,14545965,5655748,22159852,None,None,None,305000,364737,3447153,2100000,2132117,-27453954,0,None,-31127101,-37124,-31127101,-28994984,-27453954
