fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2023-09-30,USD,5452121000,2239904000,110809000,567377000,1024209000,163187000,3086899000,1252483000,71085000,441200000,193177000,248023000,467639000,78871000,456568000,146905000,None,1942835000,930585000,292925000,253597000,11742000,159224000,723806000,35120000,4100000,2648000,194922000,4100000,148187000,121549000,3509286000,104183000,-3847349000,6243000,599465146
2023-06-30,USD,5583277000,2617243000,579418000,1084822000,904288000,216645000,2853640000,1061810000,60916000,449048000,199083000,249965000,501108000,63457000,505404000,139537000,None,1844192000,827818000,220470000,251736000,9414000,142688000,711209000,37804000,4200000,513000,194584000,4200000,133231000,101918000,3739085000,99215000,-3563870000,6201000,598053390
2023-03-31,USD,5654093000,2977324000,474861000,1643143000,775649000,127720000,2571714000,874659000,53647000,453640000,203740000,249900000,1095721000,67350000,1168282000,155822000,None,1732443000,677540000,188149000,220150000,13850000,130079000,771660000,39404000,9000000,5228000,194250000,9000000,54201000,180273000,3921650000,98851000,-3327472000,6120000,589205165
2022-12-31,USD,5764276000,3305298000,690630000,2158409000,645636000,129450000,2362991000,719793000,48116000,456332000,207725000,248607000,1364193000,31250000,1467779000,150389000,None,1704062000,635275000,191895000,229898000,13291000,121077000,794547000,37988000,9000000,5142000,193919000,9000000,34060000,193051000,4060214000,96261000,-3120911000,6084000,590345658
2022-09-30,USD,5858804000,3651652000,1747753000,2697314000,516280000,None,2107413000,607268000,42557000,426366000,195647000,230719000,860602000,41162000,949561000,135506000,None,1635228000,599391000,199865000,378290000,8153000,104752000,720154000,35864000,193592000,937000,193592000,193592000,29269000,163864000,4223576000,95337000,-2897446000,5988000,578043278
2022-06-30,USD,5734404000,3894070000,2255951000,3106199000,429549000,None,1753255000,431492000,37249000,439239000,204213000,235026000,752913000,37007000,850248000,111846000,None,1395823000,427769000,146166000,255410000,7304000,91302000,656755000,32972000,193269000,980000,193269000,193269000,31645000,169791000,4338581000,75186000,-2726688000,5958000,578043278
2022-03-31,USD,5803805000,4099894000,2495614000,3442668000,333379000,None,1622898000,324653000,31679000,444438000,212407000,232031000,840540000,41312000,947054000,87763000,None,1327573000,358331000,78711000,310370000,9809000,87686000,648365000,30520000,192949000,4155000,192949000,192949000,34282000,176242000,4476232000,73991000,-2553392000,5952000,577866983
2021-12-31,USD,5950076000,4448525000,2481269000,3869529000,269163000,None,1424566000,255623000,29124000,378644000,158208000,220436000,1253157000,12892000,1388260000,178521000,None,1344380000,420553000,92307000,366180000,35252000,15300000,599389000,24611000,692092000,15252000,192633000,707392000,39800000,139797000,4605696000,72526000,-2396903000,5947000,577654900
2021-09-30,USD,5740100000,4787995000,3371962000,4272377000,229814000,None,859574000,169586000,27355000,109500000,37644000,71856000,900415000,None,900415000,62746000,None,1033211000,269943000,68378000,214460000,26249000,85128000,467262000,17027000,382253000,23491000,192320000,382253000,28329000,55113000,4706889000,71168000,-2203989000,5930000,574520806
2021-06-30,USD,5788826000,4966411000,3160170000,4523193000,209820000,None,731289000,110475000,25440000,110152000,38052000,72100000,1363023000,None,1363023000,60579000,None,957957000,251078000,70027000,165941000,33131000,86892000,414839000,12380000,381944000,30403000,192011000,381944000,31750000,42973000,4830869000,40434000,-2097319000,5868000,570922157
