fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-09-30,USD,-137965000,198711000,336676000,10200000,-273971000,105451000,27651000,136006000,-805000,-11802000,10369000,11802000,0,4987000,16544000,4400000,-288179000,-4700000,11802000,-283508000,-271336000,-276377000,-271977000,-283479000
2023-06-30,USD,-78143000,260182000,338325000,7300000,-233842000,101154000,29251000,155699000,4000,-11265000,16391000,11265000,264000,-5082000,11477000,4800000,-237298000,-900000,11265000,-236415000,-231128000,-226033000,-221233000,-236398000
2023-03-31,USD,-69396000,210286000,279682000,5500000,-209799000,104016000,26535000,140403000,5945000,-10650000,17632000,10650000,-1000,-4771000,9789000,5000000,-207861000,-1300000,10650000,-206531000,-199591000,-197211000,-192211000,-206561000
2022-12-31,USD,-80478000,220742000,301220000,5500000,-233734000,101509000,27456000,153256000,5393000,-10166000,17938000,10166000,-1066000,6861000,10201000,3557000,-224156000,-691000,11152000,-223465000,-214444000,-213990000,-210433000,-223465000
2022-09-30,USD,-46063000,188628000,234691000,5400000,-159746000,85578000,28105000,113683000,-1823000,-9020000,13429000,9020000,0,-5399000,8997000,800000,-169258000,1500000,9020000,-170758000,-176794000,-160238000,-159438000,-170758000
2022-06-30,USD,-32465000,151267000,183732000,5500000,-146909000,95953000,23557000,114444000,-2270000,-11203000,3838000,11203000,-468000,-2456000,8362000,800000,-172873000,423000,11203000,-173296000,-183823000,-161670000,-160870000,-173296000
2022-03-31,USD,-35349000,140804000,176153000,2600000,-139161000,80890000,20461000,103812000,-2290000,-8648000,2054000,8648000,-847000,-1309000,2842000,5939000,-156903000,-414000,8648000,-156503000,-173419000,-148255000,-142316000,-156489000
2021-12-31,USD,-87763000,161905000,249668000,-417084000,-200742000,73200000,27139000,112979000,None,-15330000,-5664000,9666000,155000,-447000,4997000,1374000,-209111000,-16197000,15330000,-192914000,-192108000,-199445000,-198071000,-192914000
2021-09-30,USD,-31078000,143922000,175000000,175000000,-98663000,42421000,16634000,67585000,None,-5361000,4151000,9512000,-254000,-50000,6178000,400000,-106671000,0,5361000,-106671000,-109043000,-97159000,-96759000,-106671000
2021-06-30,USD,-40298000,124557000,164855000,164855000,-89637000,38652000,11247000,49339000,None,-10268000,1446000,11714000,18000,-70000,4211000,400000,-99634000,0,10268000,-99634000,-101020000,-87920000,-87520000,-99634000
2021-03-31,USD,-12171000,71958000,84129000,84129000,-48282000,25579000,9742000,36111000,None,-12266000,68000,12334000,361000,-198000,5514000,364000,-60746000,0,12266000,-60746000,-61777000,-48412000,-48048000,-60746000
2020-12-31,USD,-431114000,14367000,109219000,122015000,-477774000,29385000,10815000,46660000,None,13161000,31264000,18103000,309099000,-287000,4574000,-2320000,-490935000,-6830000,-17625000,-477774000,-483500000,-472832000,-475152000,-484105000
2020-09-30,USD,-28584000,107048000,135632000,135632000,-54310000,17210000,7386000,25726000,None,-17248000,None,17248000,107048000,-303000,3791000,300000,-71861000,-6644000,17248000,-39379000,-64530000,-54613000,-54313000,-65217000
