fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2023-12-31,USD,106618000000,49616000000,16398000000,29094000000,13626000000,3508000000,46472000000,29725000000,12057000000,431000000,178000000,253000000,29094000000,None,12696000000,3199000000,4531000000,43009000000,28748000000,14431000000,9651000000,1975000000,1577000000,15250000000,175000000,2682000000,1975000000,None,4259000000,517000000,8153000000,62634000000,None,27882000000,3000000,3185000000
2022-12-31,USD,82338000000,40917000000,16253000000,22185000000,12839000000,2959000000,32209000000,23548000000,9041000000,409000000,215000000,194000000,22185000000,None,5932000000,2941000000,3865000000,36440000000,26709000000,15255000000,7464000000,1016000000,530000000,10866000000,568000000,1029000000,1016000000,None,1559000000,354000000,5330000000,44704000000,None,12885000000,3000000,3164000000
2021-12-31,USD,62131000000,27100000000,17576000000,17707000000,5757000000,1924000000,25281000000,18884000000,6731000000,457000000,257000000,200000000,131000000,None,131000000,1723000000,2138000000,30548000000,19705000000,10025000000,5881000000,1088000000,587000000,8260000000,991000000,4254000000,1088000000,None,4841000000,310000000,3546000000,30189000000,None,329000000,3000000,1033000000
2020-12-31,USD,52148000000,26717000000,19384000000,19384000000,4101000000,1895000000,18134000000,12747000000,5117000000,520000000,313000000,207000000,None,None,None,1346000000,1536000000,28418000000,14248000000,6051000000,4668000000,1758000000,1384000000,6962000000,1094000000,8462000000,2132000000,None,9846000000,264000000,3330000000,22225000000,None,-5399000000,1000000,960000000
2019-12-31,USD,34309000000,12103000000,6268000000,6268000000,3552000000,1324000000,15251000000,10396000000,3734000000,537000000,339000000,198000000,None,1000000,None,959000000,1470000000,26199000000,10667000000,3771000000,3842000000,1399000000,785000000,6050000000,1232000000,10402000000,228000000,None,11187000000,260000000,2691000000,6618000000,None,-6083000000,1000000,181000000
2018-12-31,USD,29740000000,8307000000,3686000000,3685618000,3113000000,949022000,13072152000,11330000000,2699000000,350000000,282000000,68000000,None,421548000,192551000,558222000,572000000,23427000000,9993000000,3405000000,2504000000,2222000000,2567699000,13164200000,1855900000,8411000000,2567699000,None,8410490000,372000000,2710000000,4923000000,None,-5317832000,0,172603000
2017-12-31,USD,28655372000,6570520000,3368000000,3367914000,2263537000,515381000,11620758000,10027522000,1723794000,421739000,361502000,60237000,None,456652000,155323000,423688000,273123000,23022980000,7674670000,2390250000,2193052000,799849000,3300000,13083289000,1801010000,8828985000,796549000,None,8832285000,130565000,2442970000,4237242000,None,-4974299000,169000,168797000
2016-12-31,USD,22664076000,6259796000,3393000000,3393216000,2067454000,499142000,7350320000,5982957000,997485000,376145000,376145000,None,None,506302000,216000,299984000,216751000,16750167000,5827005000,1860341000,1614916000,1114652000,130441000,8640254000,1459684000,5892016000,984211000,None,6022457000,84492000,1891449000,4752911000,None,-2997237000,161000,161561000
2015-12-31,USD,8067939000,2782006000,1196908000,1196908000,1277838000,168965000,3416156000,3403334000,571126000,12816000,12816000,None,7300000,None,16700000,147857000,46858000,6936950000,2811035000,916148000,679132000,633166000,5239000,2851456000,None,441000000,627927000,1290000000,446239000,-633166000,364976000,1083704000,None,-2322323000,131000,131425000
2014-12-31,USD,5830667000,3180073000,1905713000,1905713000,953675000,226604000,1883850000,1829267000,292590000,None,None,None,16673000,None,17947000,112665000,43209000,4860761000,2107166000,777946000,381096000,1212698000,601599000,2266433000,12267000,2959795000,611099000,1220000000,3561394000,-632128000,154660000,911710000,None,-1433682000,126000,125687607
2013-12-31,USD,2416930000,1265939000,845889000,848901000,340355000,49109000,768566000,738494000,140142000,13930000,13930000,None,None,None,3012000,30586000,23637000,1749810000,675160000,303969000,230856000,7904000,7904000,272303000,None,586301000,182000,586119000,586301000,-7904000,58197000,667120000,None,-1139620000,123000,123090990
2012-12-31,USD,1114190000,524768000,201890000,220984000,268504000,26842000,585110000,552229000,57543000,14267000,14267000,None,None,None,19094000,27532000,21963000,989490000,539108000,303382000,700000,55206000,55206000,471714000,9965000,452336000,50841000,401495000,452336000,-195928000,25170000,115000,None,-1065606000,115000,114214274
2011-12-31,USD,713448000,372838000,255266000,280300000,50082000,9539000,335260000,298414000,32222000,14508000,14508000,None,25061000,None,25034000,32890000,22371000,489403000,191339000,56141000,800000,8983000,8983000,311474000,2830000,276251000,7916000,268335000,276251000,123870000,14915000,104000,None,-669392000,104000,104530305
2010-12-31,USD,386082000,235886000,99558000,99558000,45182000,None,150196000,114636000,21993000,14508000,14508000,None,None,None,73597000,84436000,22730000,179034000,85565000,28951000,None,None,279000,93469000,None,72324000,None,71828000,72107000,51700000,12274000,207048000,None,-414982000,95000,94908370
