fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-12-31,USD,17660000000,96773000000,79113000000,463000000,8891000000,4800000000,3969000000,8769000000,1066000000,-156000000,1066000000,156000000,96917000000,172000000,3330000000,506000000,9996000000,-5001000000,156000000,14974000000,15215000000,10152000000,10658000000,14997000000
2022-12-31,USD,20853000000,81462000000,60609000000,604000000,13656000000,3946000000,3075000000,7197000000,297000000,-191000000,41000000,191000000,-81000000,-43000000,2420000000,493000000,13688000000,1130000000,191000000,12587000000,12141000000,13879000000,14372000000,12556000000
2021-12-31,USD,13606000000,53823000000,40217000000,374000000,6523000000,4517000000,2593000000,7083000000,56000000,-371000000,56000000,371000000,-55000000,135000000,1910000000,466000000,6218000000,699000000,371000000,5644000000,5210000000,6589000000,7055000000,5519000000
2020-12-31,USD,6630000000,31536000000,24906000000,289000000,1994000000,3145000000,1491000000,4636000000,30000000,-748000000,30000000,748000000,-336000000,-122000000,1570000000,399000000,1013000000,292000000,853000000,862000000,1120000000,1761000000,2160000000,721000000
2019-12-31,USD,4069000000,24578000000,20509000000,193000000,-69000000,2646000000,1343000000,4138000000,44000000,-685000000,44000000,685000000,-98000000,45000000,1370000000,343000000,-752000000,110000000,685000000,-775000000,-890000000,-67000000,276000000,-862000000
2018-12-31,USD,4042000000,21461000000,17419000000,85272000,-388000000,2835000000,1460000000,4430000000,24533000,-663071000,-71000,663000000,22184879000,22000000,1110000000,66000000,-918000000,58000000,663071000,-1062582000,-1018000000,-255000000,-189000000,-976000000
2017-12-31,USD,2223000000,11759000000,9536000000,7797183000,-1632000000,2477000000,1378000000,3855000000,19686000,-471259000,-259000,471000000,948469000,-125000000,769000000,1636003000,-1930000000,32000000,471259000,-2240578000,-1905000000,-1459000000,177003000,-1962000000
2016-12-31,USD,1599257000,7000132000,5400875000,4559939000,-667340000,1432189000,834408000,2266597000,8530000,-198810000,164180000,198810000,756309000,111272000,477300000,947099000,-648216000,26698000,198810000,-773046000,-695098000,-449406000,497693000,-674914000
2015-12-31,USD,923503000,4046025000,3122522000,2868242000,-716629000,922232000,717900000,1640132000,1508000,-118851000,None,118851000,-55765000,-41652000,None,422590000,-875624000,13039000,118851000,-888663000,-892197000,-756773000,-334183000,-888663000
2014-12-31,USD,881671000,3198356000,2316685000,2332294000,-186689000,603660000,464700000,1068360000,1126000,-100886000,None,100886000,1891000,1813000,63105000,231931000,-284636000,9404000,100886000,-294040000,-294062000,-183750000,48181000,-294040000
2013-12-31,USD,456262000,217070000,1557234000,1565882000,-61283000,285569000,231976000,517545000,189000,-32934000,None,32934000,-3655000,22602000,17171000,106083000,-71426000,2588000,32934000,-74014000,-74014000,-38492000,67591000,-74014000
2012-12-31,USD,30067000,413256000,383189000,388118000,-394283000,150372000,273978000,424350000,288000,-254000,None,254000,2096000,-1828000,None,28825000,-396077000,136000,254000,-396213000,-396210000,-395823000,-366998000,-396213000
2011-12-31,USD,61595000,204242000,142647000,144475000,-251488000,104102000,208981000,313083000,255000,-43000,None,43000,2655000,-2646000,None,16919000,-253922000,489000,43000,-254411000,-254414000,-253879000,-236960000,-254411000
